circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
1_1;Laurent MALLET;Jérôme BUISSON;Xavier BRETON;Fabrine MARTIN ZEMLIK;Florence BLATRIX-CONTAT;Laurane RAIMONDO;;Jacques FONTAINE;
1_2;Marie Jeanne BEGUET;Anne MICHAUD;Charles DE LA VERPILLIÈRE;Sylviane THIEBAUT;;Albane Colin;;Guy BRULLAND;Pascale LEMERRE
1_3;Olga GIVERNET;Gaëtan NOBLET;Stéphanie PERNOD BEAUDON;Christian JOLIE;Géraldine SACCHI-HASSANEIN;Jean Mercier;;Jean Sébastien BLOCH;
1_4;Stéphane TROMPILLE;Blanche CHAUSSAT;Guy BILLOUDET;Line HUGUET;;Anne Partensky-Leibman;Muriel LUGA GIRAUD;Catherine LATTARD;Annick VEILLEROT
1_5;Hélène DE MEIRE;Pénélope CHALON;Damien ABAD;Bertrand JACQUIER;Elodie SCHWANDER;Carole Pontier;;Mylène FERRI;Claude JUILLET
2_1;Aude BONO-VANDORME;Damien PHILIPPOT;Christophe COULON;Jean-Marc CHAMBLAY;Fawaz KARIMET;Brigitte Fournié Turquin;;;Jacques FERRAND
2_2;;Sylvie SAILLARD-MEUNIER;Julien DIVE;Sarah LEMPEREUR;Karl PINCHERELLE;Michel Magniez;;Corinne BECOURT;Jean-Christophe SEUBE
2_3;Alain HUSILLOS-CRESPO;Paul-Henry HANSEN-CATTA;Laurent MARLOT;Alexandra MORTET;Jean-Louis BRICOUT;Christophe Parent;;Aurélien GALL;Philippe TORRE
2_4;Marc DELATTE;Jean MESSIHA;Isabelle LÉTRILLART;Sylvie HEYVAERTS;;Francis MEULEY;;Michel CARREAU;
2_5;Jacques KRABAL;François DE VOYER;;Omar FENARDJI;;Dominique Jourdain;Dominique MOYSE;;Michelle SAPORI
3_1;Pauline RIVIERE;Michèle CIUCH;Pierre-André PÉRISSOL;;Magali ALEXANDRE;Luderce POINAMBALOM;;Jean-Paul DUFRÈGNE;Corentin BLACHE
3_2;Laurence VANCEUNEBROCK-MIALON;Elisabeth CAMUS;Daniel DUGLÉRY;Sylvain BOURDIER;Nicolas BRIEN;Philippe Buvat;;;Jean DEMASSE
3_3;Bénédicte PEYROL;Jean-Pierre SIGAUD;Gabriel MAQUIN;Marie-Thérèse DUPUIS;;Pascal Devos;;;Marie-Laure BECOUZE
4_1;Delphine BAGARRY;Odile BRUN;;Emmanuelle GAZIELLO;;Colette Charriau;Brigitte BEAUMEYER;Gérard ESMIOL;Marie-Anne BAUDOUI MAUREL
4_2;Christophe CASTANER;Christian GIRARD;Sébastien GINET;Léo WALTER;;Claudine RAZEAU;;Isabelle THIBAULT;Noël CHUISANO
5_1;Pascale BOYER;Patrick DEROIN;Catherine ASSO;Éléonore FLANDIN;Karine BERGER;Chantal SARRUT;;Pierre VILLARD;
5_2;Joël GIRAUD;Laurence LEGUEM;;Christophe TASSAUX;;Agnès Antoine;Chantal EYMEOUD;;
6_1;Caroline REVERSO-MEINIETTI;Jean-Pierre DAUGREILH;Eric CIOTTI;Robert INJEY;Yann LIBRATI;Moussa BA;;;Thomas CALVIFIORI
6_2;Loîc DOMBREVAL;Jérôme COCHET;;Sonia NAFFATI;;Brigitte REYNARD;Anne SATTONNET;Jean-Louis FIORI;Eliette TROUCHE
6_3;Cédric ROUSSEL;Philippe VARDON;;Bruno COULET;Raphaël GALMICHE;Juliette Chesnel;Rudy SALLES;;Muriel LOUBET
6_4;Alexandra VALETTA ARDISSON;Olivier BETTATI;Xavier BECK;Zohra BRIAND;;Laurent Lanquar;;Michaël ALBIN;Jean-Marc CHIPOT
6_5;;Chantal AGNELY;Marine BRENIER;Philippe PELLEGRINI;Jacqueline DEVIER;Christine BEYL;;;Thibault DELHEZ
6_6;Nathalie AUDIN;Yoann SALIBA;Laurence TRASTOUR-ISNART;Prune HELFTER-NOAH;Michel GAILLARD;Antoine Marchese;;Jean-François TÉALDI;Lionel DOLCIANI
6_7;Khaled BEN ABDERRAHMANE;Lionel TIVOLI;Eric PAUGET;Philippe CARENZO;;Elisabeth Deborde;;Cécile DUMAS;Sophie MORI
6_8;Philippe BUERCH;Anne KESSLER;Bernard BROCHAND;Maddy VARD;Antoine BABU;Fabien Torres;;Christine SCHOUVER;Pamela BIATOUR
6_9;Dominique FILLEBEEN;Nathalie PAVARD;Michèle TABAROT;Denis LEBLANC;Louis ACACIO;Didier Cherel;;Odile CLEMENTE;Jean-Luc BURGAUD
7_1;André DUPONT;Céline PORQUET;;Luisa GAILLARD SANCHEZ;Hervé SAULIGNAC;Olivier Keller;François ARSAC;Francois JACQUART;
7_2;Laurette GOUYET-POMMARET;Odile LASFARGUES-BOUYON;Marc-Antoine QUENETTE;Samia HASNAOUI;Olivier DUSSOPT;Nadia Senni;;Daniel BABAROSSA;Isabelle FRANÇOIS
7_3;Matthieu PEYRAUD;Thierry ARSAC;Fabrice BRUN;Alain JOFFRE;Sabine BUIS;Guillaume Vermorel;;Carole DAUDAN;Jean-Pierre MEJEAN
8_1;Jean-Pierre MORALI;Sophie LORENZO;Bérengère POLETTI;Françoise VERLHAC;;Christophe Dumont;;Sylvain DALLA-ROSA;
8_2;Mario IGLESIAS;Guillaume LUCZKA;Pierre CORDIER;Michel CARTIAUX;Christophe LEONARD;Jean PIERRARD;;Igor NIVELET;
8_3;Christelle VORILLION;Amandine BLOMME;Jean-Luc WARSMANN;Sophie PERRIN;Didier HERBILLON;Cédric Sauvage;;Dalila MAOUCHE;
9_1;Jérôme AZEMA;Laurence LEFORT;Marie-Noëlle SAMARCQ;Bénédicte TAURINE;Martine ESTEBAN;Florence Cortes;;José NAVARRO;
9_2;Huguette BERTRAND-VINZERICH;Bernard GONDRAN;Philippe CALLEJA;Michel LARIVE;Alain FAURÉ;Jérôme Brosseron;Bernadette DEDIEU-COUMENAY;Vincent HEREDIA;Guy DJEDAINI
10_1;Grégory BESSON-MOREAU;Bruno SUBTIL;Nicolas DHUICQ;Michel BACH;;Michel Gueritte;;Marie GATARD-LAFOND;
10_2;Djamila HADDAD;Jean-Christophe LEFEVRE;Valérie BAZIN-MALGRAS;Elise GEHIN;Virgil HENNEQUIN;Benjamin Birêne;;Gisèle MALAVAL;
10_3;Pascal LANDRÉAT;Angélique RANC;Gérard MENUEL;Yves BOUTEILLER;David BLANCHON;Nelly COLLOT-TOUZÉ;;Arnaud PACOT;Laurent STOCCO
11_1;Danièle HÉRIN;Christophe BARTHÈS;Miren DE LORGERIL;Marine TORO;Alain GINIES;Nicole ESCOURBIAC;Yamina MAMOU;Mylène VESENTINI;Hervé BOISSONADE
11_2;Alain PEREA;Jean-François DARAUD;Michel PY;Jean-Hugues SILBERMAN;Marie-Hélène FABRE;Marie-Laure Arripe;;Xavier VERDEJO;André JACQUES
11_3;Mireille ROBERT;Christelle DE L'EPINOIS;Catherine VERGÉ;Manon LE BRETTON;André VIOLA;Daniel Dedies;;;
12_1;Stéphane MAZARS;Matthieu DANEN;Yves CENSI;Pierre DEFONTAINES;Sarah VIDAL;Christian Lammens;;Anne MINIER;
12_2;Anne BLANC;Bruno LELEU;André AT;Pascal MAZET;Bertrand CAVALERIE;Guy Pezet;;;
12_3;Jean-Louis AUSTRUY;Muriel ABRIAC;Arnaud VIALA;Catherine LAUR;;Thierry NOËL;;Sophie TARROUX;Henri TEMPLE
