#LAREPUBLIQUEENMARCHE;REM
 #LRME;REM
 @ENMARCHEFR;REM
 #MAJORITEPOURLAFRANCE;REM
 #MODEM;MDM
 #EM;REM
 @FRANCEINSOUMISE;FI
 #FRANCEINSOUMISE;FI
 #LEGISLATIVESFI;FI
 #AVENIRENCOMMUN;FI
 #LEGISLATIVESINSOUMISES;FI
 #INSOUMIS;FI
 #INSOUMIS2017;FI
 #FI;FI
 @LR;LR
 #LESREPUBLICAINS ;LR
 #LR;LR
 #UDI;UDI
 @UDI_OFF;UDI
 @FN;FN
 @MLP_OFFICIEL;FN
 @FN_OFFICIEL;FN
 #MLP;FN
 #FN;FN
 #PATRIOTE ;FN
 #NDA;DLF
 @DLF_OFFICIEL;DLF
 #DLF;DLF
 #UPR;DIV
 #FREXIT;DIV
 #PS;SOC
 #PARTISOCIALISTE;SOC
 @FDG;COM
 #FDG;COM
 #RESEAUFDG;COM
 #PCF;COM
 #EELV;ECO
 @EELV;ECO
LEVAVASSEUR;DVD
QUINTERNET;DIV
MAILLARD;REM
DE NAZELLE;DVD
DE BAYSER;DIV
MAZAHERI;DIV
MUNIER;ECO
BALADI;DVD
GORDTS;DIV
LE ROY;DIV
BOULINIER;EXG
VERON;SOC
VALLAUD;ECO
BAYLE;COM
BARIGANT;ECO
COEFFIER;FN
DOR;DIV
DE GENOUILLAC;DVD
COMOY;FI
DE CHAVAGNAC;DVD
LEGARET;LR
TAVERNIER;DLF
LE GENDRE;REM
GUAINO;DVD
KOSCIUSKO-MORIZET;LR
LECOQ;DVD
SEIGNAN;ECO
BRUNIE;DLF
AVRONSART;DIV
PRUNIERES;FI
BOUQUIN;FN
LASSALLE-HUMEZ;DVG
GAMET;DIV
BENIN;DVD
BETTON;DVD
COUTURE;DIV
COULOT;DIV
ZANGHELLINI;DIV
PENSO;DIV
ROUSSEAUX;DVD
LICHTENAUER;EXG
LELYS;DVD
PUYOOU;DVD
DE PREVAL;DIV
QUESTIAUX;COM
