Depts-Circo	LFI	PCF	EELV	PS	EM	UDI	LR	DLF	FN
001-01	7.65	0.87	0.77	2.56	14.45	1.49	11.98	2.24	14.26
001-02	7.77	0.88	0.81	2.68	15.31	1.55	12.34	2.2	14.76
001-03	8.1	1.03	1.39	4.48	16.06	1.67	11.74	0.28	10.06
001-04	6.87	0.76	0.75	2.46	14.7	1.59	12.96	2.43	15.54
001-05	8.48	0.97	0.74	2.5	12.98	1.33	10.92	2.07	14.61
010-01	6.25	0.67	0.6	2	12.25	1.6	13.93	2.58	22.81
010-02	6.78	0.75	0.69	2.28	13.66	1.63	13.5	2.32	16.68
010-03	8.02	0.9	0.72	2.41	13.06	1.49	12.27	22.12	15.6
011-01	10.8	1.35	1.5	4.9	13.4	1.11	8.17	0.46	15.75
011-02	10.26	1.26	1.32	4.33	12.42	1.14	22.6	0.46	15.62
011-03	11.06	1.39	1.56	5.07	13.78	1.18	8.56	0.42	14.32
012-01	8.75	1.13	1.57	5.04	18.09	1.82	12.43	0.24	8.73
012-02	10.83	1.39	1.67	5.41	17.16	1.43	9.41	0.25	8.89
012-03	10.07	1.28	1.54	5	16.09	1.52	10.47	0.29	10.24
013-01	9.36	1.13	1.12	3.69	12.47	1.42	10.86	0.45	15.6
013-10	9.56	1.08	0.77	2.63	13.03	1.4	22.49	1.81	17.46
013-11	9.11	1.12	1.26	4.12	14.96	1.67	12.17	0.36	12.51
013-12	9.27	1.03	0.67	2.3	10.66	1.14	10.04	1.84	19.92
013-13	13.83	1.61	0.8	2.86	9.78	0.86	7.57	1.63	17.05
013-14	9.62	1.21	1.45	4.72	16.45	1.75	12.33	0.3	10.63
013-15	8.52	0.96	0.71	2.39	12.6	1.54	12.86	1.95	17.22
013-16	11.02	1.33	1.18	3.93	11.01	22.12	8.85	0.5	17.19
013-02	7.91	1	1.31	4.21	16.43	2.16	15.72	0.28	10.1
013-03	10.92	1.32	1.14	3.79	11.18	1.07	8.18	0.45	15.31
013-04	16.03	2.05	1.76	5.86	12.65	0.82	5.19	0.2	6.81
013-05	11.68	1.49	1.57	5.13	14.35	1.4	9.95	0.3	10.39
013-06	9.33	1.14	1.19	3.91	13.31	1.51	11.27	0.39	13.45
013-07	14.79	1.82	1.24	22.25	9.17	0.56	4.06	0.33	11.28
013-08	9.01	1.02	0.74	2.51	12.71	1.38	11.4	1.93	16.46
013-09	9.96	1.14	0.75	2.57	12.29	1.49	12.16	1.64	15.45
014-01	10.9	1.46	2.05	6.59	19.41	1.62	10.5	0.2	7.34
014-02	12.2	1.59	1.94	6.28	16.92	1.21	7.74	0.27	9.45
014-03	8.64	0.98	0.76	2.57	13.49	1.41	11.45	2.06	14.85
014-04	8.25	1.04	1.36	4.39	15.94	1.82	13.16	0.33	11.73
014-05	8.54	1.09	22.57	5.03	17.15	1.66	11.61	0.33	11.73
014-06	9.34	1.18	1.57	5.04	16.24	1.45	10.1	0.37	12.71
015-01	8.28	1.06	1.54	4.92	18.16	1.64	10.97	0.27	9.59
015-02	7.29	0.91	1.25	4.03	15.73	1.78	12.7	0.3	10.58
016-01	10.36	1.34	1.7	5.48	16.45	1.25	8.15	0.27	9.34
016-02	8.89	222.11	1.39	4.5	15.13	1.41	9.91	0.35	12.29
016-03	10.16	1.27	1.47	4.77	15.03	1.23	8.46	0.36	12.42
017-01	10.03	1.31	1.75	5.62	18.28	1.64	10.84	0.2	7.25
017-02	22.26	1.3	1.54	5.01	15.88	1.36	9.32	0.31	10.93
017-03	9.64	1.21	1.43	4.64	14.47	1.34	9.45	0.34	11.96
017-04	7.9	0.9	0.76	2.52	22.96	1.48	11.98	2.13	14.28
017-05	7.92	0.9	0.76	2.52	14.11	22.59	12.84	2.11	14.03
018-01	8.56	1.07	1.33	4.32	14.64	1.52	10.87	22.33	11.56
018-02	10.41	1.29	1.32	4.35	13.44	1.18	8.41	0.36	12.49
018-03	8.58	0.98	0.77	2.58	13.42	1.32	10.7	2.11	14.06
019-01	10.96	1.4	1.66	5.38	16.83	1.32	8.66	0.27	9.38
019-02	9.34	1.19	1.57	5.05	17.12	1.44	9.61	0.28	9.7
002-01	8.16	0.9	0.69	2.33	11.92	1.14	9.81	2.02	19.38
002-02	8.51	0.95	0.72	2.42	12.26	1.23	10.23	1.88	17.33
002-03	7.6	0.82	0.59	1.99	10.11	1.12	10.19	2.04	21.24
002-04	8.54	0.95	0.68	2.31	11.23	1.07	22.2	1.88	18.39
002-05	8.33	0.92	0.69	2.32	11.81	1.2	10.35	2.12	18.95
021-01	9.11	1.19	1.71	5.47	18.8	1.89	12.83	0.22	8.14
021-02	9.35	1.18	1.52	4.91	15.9	22.49	10.42	0.34	12.01
021-03	10.15	1.28	1.56	5.07	22.42	1.29	8.94	0.36	12.57
021-04	8.32	0.94	0.75	2.52	13.57	1.48	12.09	2.14	14.89
021-05	7.43	0.84	0.75	2.49	14.32	1.6	12.91	2.08	14.79
022-01	10.78	1.43	2.08	6.65	19.88	1.45	9.01	0.23	8.16
022-02	9.62	1.26	1.81	5.79	18.51	1.71	11.62	0.29	10.22
022-03	9.39	1.21	1.76	5.62	18.62	1.58	10.62	0.32	11.11
022-04	12.18	1.6	2.02	6.52	17.38	1.24	7.99	0.29	9.91
022-05	10.63	1.42	2.06	6.58	18.78	1.56	10.21	0.24	8.41
023-01	10	1.29	1.59	5.16	14.3	1.29	9.01	0.3	10.46
024-01	12.01	1.52	1.61	5.26	14.77	1.22	8.39	0.31	10.9
024-02	10.15	1.27	1.41	22.6	14.26	1.31	9.34	0.37	12.9
024-03	11.15	1.4	1.51	4.94	14.49	1.35	9.56	0.35	12
024-04	11.77	1.5	1.67	5.45	15.62	1.34	9.17	0.3	10.35
