Prénom;Nom;Département;Numéro de département;Numéro de la circonscription;facebook;twitter;url
Marie-Noelle;BATTISTEL;Isère;38;4;https://www.facebook.com/marienoelle.battistel?fref=ts;;http://www.parti-socialiste.fr/personnalite/marie-noelle-battistel/
Michel;DESTOT;Isère;38;3;https://www.facebook.com/micheldestot/?fref=ts;https://twitter.com/mdestot;http://www.parti-socialiste.fr/personnalite/michel-destot/
Eliane;GIRAUD;Isère;38;5;https://www.facebook.com/eliane.giraud.1?fref=ts;https://twitter.com/ElianeGiraud;http://www.parti-socialiste.fr/personnalite/eliane-giraud/
Didier;LE BRET;Français établis hors de France;999;9;https://www.facebook.com/didierlebret2017/;https://twitter.com/Didier_LeBret;http://www.parti-socialiste.fr/personnalite/didier-le-bret/
Pierre;VERRI;Isère;38;2;https://www.facebook.com/Echirolles-avec-Pierre-VERRI-2%C3%A8me-Circo-De-LIs%C3%A8re-1943063795927631/;https://twitter.com/VerriPierre;http://www.parti-socialiste.fr/personnalite/pierre-verri/
Joelle;HUILLIER;Isère;38;10;https://www.facebook.com/joellehuillier/?fref=ts;https://twitter.com/Joellehuillier;http://www.parti-socialiste.fr/personnalite/joelle-huillier/
Alexandre;Bolleau;Isère;38;6;https://www.facebook.com/Bolleau.2017.legislatives/;;http://www.parti-socialiste.fr/personnalite/alexandre-bolleau/
Erwann;BINET;Isère;38;8;https://www.facebook.com/erwann.binet/?fref=ts;https://twitter.com/erwannbinet;http://www.parti-socialiste.fr/personnalite/erwann-binet/
Florian;Bohème;;;;;https://twitter.com/florianboheme;http://www.parti-socialiste.fr/personnalite/florian-boheme/
Benjamin;Djiane;;;;https://www.facebook.com/djiane.benjamin;https://twitter.com/benjamindjiane;http://www.parti-socialiste.fr/personnalite/benjamin-djiane/
Pierre;Yves LE BORGN’;Français établis hors de France;999;7;;https://twitter.com/pyleborgn;http://www.parti-socialiste.fr/personnalite/pierre-yves-borgn/
Naffi;DAAD;Français établis hors de France;999;10;;https://twitter.com/DaadNB;http://www.parti-socialiste.fr/personnalite/naffi-daad/
Gabrielle;Siry;;;;;https://twitter.com/GabrielleSiry;http://www.parti-socialiste.fr/personnalite/gabrielle-siry-2/
Guillaume;Mathelier;;;;;https://twitter.com/MathelierG;http://www.parti-socialiste.fr/personnalite/guillaume-mathelier/
Yan;Chantrel;Français établis hors de France;999;1;https://www.facebook.com/yanchantrel2017/;https://twitter.com/YanChantrel;http://www.parti-socialiste.fr/personnalite/yan-chantrel/
Philip;CORDERY;Français établis hors de France;999;4;https://www.facebook.com/CorderyPhilip/?fref=ts;https://twitter.com/PhilipCordery;http://www.parti-socialiste.fr/personnalite/philip-cordery-2/
Monique;ORPHE;Réunion;974;6;https://www.facebook.com/Monique-Orph%C3%A9-D%C3%A9put%C3%A9e-321211427928411/?fref=ts;https://twitter.com/moniqueorphe;http://www.parti-socialiste.fr/personnalite/monique-orphe/
Axelle;LEMAIRE;Français établis hors de France;999;3;https://www.facebook.com/axelle.lemaire/?fref=ts;https://twitter.com/axellelemaire;http://www.parti-socialiste.fr/personnalite/axelle-lemaire/
Jean-Jacques;VLODY;Réunion;974;3;https://www.facebook.com/pg/jeanjacques.vlody/about/?ref=page_internal;https://twitter.com/jvlody;http://www.parti-socialiste.fr/personnalite/jean-jacques-vlody/
Virginie;GOBALOU;Réunion;974;3;;;http://www.parti-socialiste.fr/personnalite/virginie-gobalou/
Philippe;LECONSTANT;Réunion;974;5;https://www.facebook.com/philippe.leconstant?fref=ts;;http://www.parti-socialiste.fr/personnalite/philippe-leconstant/
Ericka;BAREIGTS;Réunion;974;1;https://www.facebook.com/erickabareigts974/;https://twitter.com/ebareigts;http://www.parti-socialiste.fr/personnalite/ericka-bareigts-2/
Marlène;THIBAUD;Vaucluse;84;4;https://www.facebook.com/marlene.thibaud.3;;http://www.parti-socialiste.fr/personnalite/marlene-thibaud/
Salim;NANA IBRAHIM;Réunion;974;2;https://www.facebook.com/salim.nana.ibrahim974;https://twitter.com/S_Nana_Ibrahim;http://www.parti-socialiste.fr/personnalite/salim-nana-ibrahim/
Jean;François LOVISOLO;Vaucluse;84;5;https://www.facebook.com/jeanfrancois.lovisolo?fref=ts;;http://www.parti-socialiste.fr/personnalite/jean-francois-lovisolo/
Christine;LAGRANGE;Vaucluse;84;1;https://www.facebook.com/christine.lagrange.796?fref=ts;https://twitter.com/lagrange2017;http://www.parti-socialiste.fr/personnalite/christine-lagrange/
Jimmy;COSTE;Var;83;7;https://www.facebook.com/jimmycoste?fref=ts;https://twitter.com/JimmyCoste;http://www.parti-socialiste.fr/personnalite/jimmy-coste/
