Code departement;departement;circonscription;Dept_circo;Election;Sexe;Nom;Prenom;Etiquette;nuance;voix;Acces
1;AIN;1;1_1;Leg_2007_t2;M;DEBAT;Jean-Francois;PARTI SOCIALISTE;SOC;23953;N
1;AIN;3;1_3;Leg_2007_t2;F;RIGAUD;Francoise;PARTI SOCIALISTE;SOC;17591;N
2;AISNE;1;2_1;Leg_2007_t2;M;DOSIERE;Rene;DIVERS GAUCHE;DVG;24499;O
2;AISNE;3;2_3;Leg_2007_t2;M;BALLIGAND;Jean-Pierre;PARTI SOCIALISTE;SOC;24383;O
2;AISNE;4;2_4;Leg_2007_t2;M;DESALLANGRE;Jacques;DIVERS GAUCHE;DVG;24792;O
2;AISNE;5;2_5;Leg_2007_t2;M;JOURDAIN;Dominique;PARTI SOCIALISTE;SOC;21471;N
3;ALLIER;1;3_1;Leg_2007_t2;M;CHAMBEFORT;Guy;DIVERS GAUCHE;DVG;20725;O
3;ALLIER;2;3_2;Leg_2007_t2;M;LESTERLIN;Bernard;PARTI SOCIALISTE;SOC;23278;O
3;ALLIER;3;3_3;Leg_2007_t2;M;MALLOT;Jean;PARTI SOCIALISTE;SOC;23560;O
3;ALLIER;4;3_4;Leg_2007_t2;M;CHARASSE;Gerard;PARTI RADICAL DE GAUCHE (SOUTIEN PS);PRG;24066;O
4;ALPES-DE-HAUTE-PROVENCE;1;4_1;Leg_2007_t2;M;BIANCO;Jean-Louis;PARTI SOCIALISTE;SOC;20781;O
4;ALPES-DE-HAUTE-PROVENCE;2;4_2;Leg_2007_t2;M;CASTANER;Christophe;PARTI SOCIALISTE;SOC;17833;N
5;HAUTES-ALPES;1;5_1;Leg_2007_t2;F;BERGER;Karine;PARTI SOCIALISTE;SOC;17345;N
5;HAUTES-ALPES;2;5_2;Leg_2007_t2;M;GIRAUD;Joel;PARTI RADICAL DE GAUCHE;PRG;17184;O
6;ALPES-MARITIMES;1;6_1;Leg_2007_t2;M;ALLEMAND;Patrick;PARTI SOCIALISTE;SOC;11780;N
6;ALPES-MARITIMES;8;6_8;Leg_2007_t2;M;BROCHAND;Bernard;UNION POUR UN MOUVEMENT POPULAIRE;UMP;18299;O
7;ARDECHE;1;7_1;Leg_2007_t2;M;TERRASSE;Pascal;PARTI SOCIALISTE;SOC;28639;O
7;ARDECHE;2;7_2;Leg_2007_t2;M;DUSSOPT;Olivier;PARTI SOCIALISTE;SOC;29096;O
7;ARDECHE;3;7_3;Leg_2007_t2;F;LOUIS;Veronique;PARTI SOCIALISTE;SOC;20836;N
8;ARDENNES;1;8_1;Leg_2007_t2;F;LEDOUX;Claudine;PARTI SOCIALISTE;SOC;16870;N
8;ARDENNES;2;8_2;Leg_2007_t2;M;VUILQUE;Philippe;PARTI SOCIALISTE-PRGA;SOC;20363;O
9;ARIEGE;1;9_1;Leg_2007_t2;F;MASSAT;Frederique;PARTI SOCIALISTE;SOC;22236;O
9;ARIEGE;2;9_2;Leg_2007_t2;M;NAYROU;Henri;PARTI SOCIALISTE;SOC;22692;O
10;AUBE;1;10_1;Leg_2007_t2;F;BRET;Line;PARTI SOCIALISTE;SOC;12793;N
10;AUBE;2;10_2;Leg_2007_t2;F;AYADI;Saliha;PARTI RADICAL DE GAUCHE (SOUTIEN PS);PRG;13324;N
11;AUDE;1;11_1;Leg_2007_t2;M;PEREZ;Jean-Claude;PARTI SOCIALISTE;SOC;25291;O
11;AUDE;2;11_2;Leg_2007_t2;M;BASCOU;Jacques;PARTI SOCIALISTE;SOC;38701;O
11;AUDE;3;11_3;Leg_2007_t2;M;DUPRE;Jean-Paul;PARTI SOCIALISTE;SOC;28704;O
12;AVEYRON;1;12_1;Leg_2007_t2;M;TEYSSEDRE;Christian;PARTI SOCIALISTE;SOC;22841;N
12;AVEYRON;2;12_2;Leg_2007_t2;F;MARCEL;Marie-Lou;PARTI SOCIALISTE;SOC;24124;O
12;AVEYRON;3;12_3;Leg_2007_t2;F;MARRE;Beatrice;PARTI SOCIALISTE;SOC;20071;N
13;BOUCHES-DU-RHONE;1;13_1;Leg_2007_t2;F;CARLOTTI;Marie-Arlette;PARTI SOCIALISTE;SOC;14107;N
13;BOUCHES-DU-RHONE;3;13_3;Leg_2007_t2;M;MENNUCCI;Patrick;PARTI SOCIALISTE;SOC;12300;N
13;BOUCHES-DU-RHONE;4;13_4;Leg_2007_t2;M;JIBRAYEL;Henri;PARTI SOCIALISTE;SOC;13224;O
13;BOUCHES-DU-RHONE;5;13_5;Leg_2007_t2;M;ROUZAUD;Antoine;PARTI RADICAL DE GAUCHE (SOUTIEN PS);PRG;13220;N
13;BOUCHES-DU-RHONE;7;13_7;Leg_2007_t2;F;ANDRIEUX;Sylvie;PARTI SOCIALISTE;SOC;14874;O
13;BOUCHES-DU-RHONE;8;13_8;Leg_2007_t2;M;MASSE;Christophe;PARTI SOCIALISTE;SOC;20676;N
13;BOUCHES-DU-RHONE;10;13_10;Leg_2007_t2;M;MEI;Roger;PARTI COMMUNISTE FRANCAIS;COM;29900;N
13;BOUCHES-DU-RHONE;11;13_11;Leg_2007_t2;F;LENFANT;Gaelle;PARTI SOCIALISTE;SOC;21211;N
13;BOUCHES-DU-RHONE;13;13_13;Leg_2007_t2;M;VAXES;Michel;PARTI COMMUNISTE FRANCAIS;COM;29260;O
13;BOUCHES-DU-RHONE;14;13_14;Leg_2007_t2;M;MEDVEDOWSKY;Alexandre;PARTI SOCIALISTE;SOC;25853;N
13;BOUCHES-DU-RHONE;15;13_15;Leg_2007_t2;M;VACHET;Leon;UNION POUR UN MOUVEMENT POPULAIRE;UMP;16671;N
13;BOUCHES-DU-RHONE;16;13_16;Leg_2007_t2;M;VAUZELLE;Michel;PARTI SOCIALISTE;SOC;27352;O
14;CALVADOS;1;14_1;Leg_2007_t2;M;DURON;Philippe;PARTI SOCIALISTE;SOC;24336;O
14;CALVADOS;2;14_2;Leg_2007_t2;F;DUMONT;Laurence;PARTI SOCIALISTE;SOC;22403;O
14;CALVADOS;3;14_3;Leg_2007_t2;F;VALTER;Clotilde;PARTI SOCIALISTE;SOC;20197;N
14;CALVADOS;5;14_5;Leg_2007_t2;F;LE MOAL;Nathalie;PARTI SOCIALISTE;SOC;26931;N
14;CALVADOS;6;14_6;Leg_2007_t2;M;TOURRET;Alain;PARTI RADICAL DE GAUCHE (SOUTIEN PS);PRG;24771;N
15;CANTAL;1;15_1;Leg_2007_t2;M;MARKARIAN;Jacques;PARTI SOCIALISTE;SOC;17774;N
16;CHARENTE;1;16_1;Leg_2007_t2;M;VIOLLET;Jean-Claude;PARTI SOCIALISTE;SOC;22687;O
16;CHARENTE;2;16_2;Leg_2007_t2;F;REYNAUD;Marie-Line;PARTI SOCIALISTE;SOC;19858;O
16;CHARENTE;3;16_3;Leg_2007_t2;M;LAMBERT;Jerome;PARTI SOCIALISTE;SOC;27484;O
16;CHARENTE;4;16_4;Leg_2007_t2;F;PINVILLE;Martine;PARTI SOCIALISTE (DISSIDENTE);DVG;23024;O
17;CHARENTE-MARITIME;1;17_1;Leg_2007_t2;M;BONO;Maxime;PARTI SOCIALISTE;SOC;32345;O
17;CHARENTE-MARITIME;2;17_2;Leg_2007_t2;M;BONNIN;Andre;PARTI SOCIALISTE;SOC;27101;N
17;CHARENTE-MARITIME;3;17_3;Leg_2007_t2;F;QUERE;Catherine;PARTI SOCIALISTE;SOC;25501;O
18;CHER;1;18_1;Leg_2007_t2;F;FELIX;Irene;PARTI SOCIALISTE;SOC;19070;N
18;CHER;2;18_2;Leg_2007_t2;M;SANDRIER;Jean-Claude;PARTI COMMUNISTE FRANCAIS;COM;23318;O
18;CHER;3;18_3;Leg_2007_t2;M;GALUT;Yann;PARTI SOCIALISTE;SOC;25824;N
19;CORREZE;1;19_1;Leg_2007_t2;M;HOLLANDE;Francois;PARTI SOCIALISTE;SOC;28494;O
19;CORREZE;2;19_2;Leg_2007_t2;M;NAUCHE;Philippe;PARTI SOCIALISTE;SOC;23106;O
19;CORREZE;3;19_3;Leg_2007_t2;F;LECLERC;Martine;PARTI SOCIALISTE;SOC;18463;N
