Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp;qualifie
1_1;82676;39.52;LR;Xavier BRETON;17563;21.24;53.75;elu
1_1;82676;39.52;MDM;Laurent MALLET;15112;18.28;46.25;non
1_3;75548;35.42;REM;Olga GIVERNET;16552;21.91;61.86;elu
1_3;75548;35.42;LR;Stéphanie PERNOD BEAUDON;10204;13.51;38.14;non
1_2;93507;38.37;LR;Charles DE LA VERPILLIÈRE;18556;19.84;51.72;elu
1_2;93507;38.37;MDM;Marie Jeanne BEGUET;17319;18.52;48.28;non
1_4;89392;39.08;REM;Stéphane TROMPILLE;22532;25.21;64.5;elu
1_4;89392;39.08;FN;Blanche CHAUSSAT;12404;13.88;35.5;non
1_5;75295;38.41;LR;Damien ABAD;19383;25.74;67.02;elu
1_5;75295;38.41;REM;Hélène DE MEIRE;9538;12.67;32.98;non
2_1;72347;41.02;REM;Aude BONO-VANDORME;16684;23.06;56.22;elu
2_1;72347;41.02;FN;Damien PHILIPPOT;12994;17.96;43.78;non
2_2;73976;39.57;LR;Julien DIVE;19019;25.71;64.97;elu
2_2;73976;39.57;FN;Sylvie SAILLARD-MEUNIER;10255;13.86;35.03;non
2_3;68085;42.66;SOC;Jean-Louis BRICOUT;17558;25.79;60.45;elu
2_3;68085;42.66;FN;Paul-Henry HANSEN-CATTA;11487;16.87;39.55;non
3_1;89633;45.0;COM;Jean-Paul DUFRÈGNE;20915;23.33;51.85;elu
3_1;89633;45.0;REM;Pauline RIVIERE;19424;21.67;48.15;non
5_1;57741;36.33;REM;Pascale BOYER;12150;21.04;57.92;elu
5_1;57741;36.33;LR;Catherine ASSO;8828;15.29;42.08;non
2_5;82224;41.24;REM;Jacques KRABAL;19609;23.85;57.82;elu
2_5;82224;41.24;FN;François DE VOYER;14304;17.4;42.18;non
4_1;61140;40.14;REM;Delphine BAGARRY;15609;25.53;63.6;elu
4_1;61140;40.14;FN;Odile BRUN;8933;14.61;36.4;non
3_3;79165;39.95;REM;Bénédicte PEYROL;18480;23.34;58.43;elu
3_3;79165;39.95;LR;Gabriel MAQUIN;13145;16.6;41.57;non
3_2;84575;39.52;REM;Laurence VANCEUNEBROCK-MIALON;17396;20.57;52.05;elu
3_2;84575;39.52;LR;Daniel DUGLÉRY;16027;18.95;47.95;non
2_4;79114;36.51;REM;Marc DELATTE;16256;20.55;56.27;elu
2_4;79114;36.51;FN;Jean MESSIHA;12631;15.97;43.73;non
5_2;52159;41.69;REM;Joël GIRAUD;14823;28.42;68.16;elu
5_2;52159;41.69;DVD;Arnaud MURGIA;6923;13.27;31.84;non
6_1;80469;43.97;LR;Eric CIOTTI;19888;24.72;56.21;elu
6_1;80469;43.97;REM;Caroline REVERSO-MEINIETTI;15493;19.25;43.79;non
4_2;65315;40.81;REM;Christophe CASTANER;16412;25.13;61.57;elu
4_2;65315;40.81;FI;Léo WALTER;10244;15.68;38.43;non
6_2;85498;38.53;REM;Loîc DOMBREVAL;19459;22.76;59.07;elu
6_2;85498;38.53;FN;Jérôme COCHET;13483;15.77;40.93;non
6_3;89137;36.44;REM;Cédric ROUSSEL;19762;22.17;60.84;elu
6_3;89137;36.44;FN;Philippe VARDON;12720;14.27;39.16;non
6_4;85586;37.76;REM;Alexandra VALETTA ARDISSON;17047;19.92;52.74;elu
6_4;85586;37.76;FN;Olivier BETTATI;15274;17.85;47.26;non
6_5;87900;36.1;LR;Marine BRENIER;19424;22.1;61.21;elu
6_5;87900;36.1;FN;Chantal AGNELY;12311;14.01;38.79;non
6_7;92854;42.17;LR;Eric PAUGET;23278;25.07;59.45;elu
6_7;92854;42.17;REM;Khaled BEN ABDERRAHMANE;15875;17.1;40.55;non
6_6;77999;38.12;LR;Laurence TRASTOUR-ISNART;17051;21.86;57.35;elu
6_6;77999;38.12;MDM;Nathalie AUDIN;12680;16.26;42.65;non
6_8;81987;37.16;LR;Bernard BROCHAND;17403;21.23;57.13;elu
6_8;81987;37.16;REM;Philippe BUERCH;13061;15.93;42.87;non
6_9;79936;40.63;LR;Michèle TABAROT;17530;21.93;53.98;elu
6_9;79936;40.63;REM;Dominique FILLEBEEN;14947;18.7;46.02;non
7_2;93064;42.24;SOC;Olivier DUSSOPT;22132;23.78;56.3;elu
7_2;93064;42.24;REM;Laurette GOUYET-POMMARET;17179;18.46;43.7;non
7_3;78245;39.49;LR;Fabrice BRUN;16926;21.63;54.77;elu
7_3;78245;39.49;REM;Matthieu PEYRAUD;13976;17.86;45.23;non
8_1;73371;37.77;LR;Bérengère POLETTI;19311;26.32;69.68;elu
8_1;73371;37.77;REM;Jean-Pierre MORALI;8403;11.45;30.32;non
8_2;63880;34.28;LR;Pierre CORDIER;13371;20.93;61.05;elu
8_2;63880;34.28;REM;Mario IGLESIAS;8530;13.35;38.95;non
9_1;56730;44.79;FI;Bénédicte TAURINE;12776;22.52;50.28;elu
9_1;56730;44.79;REM;Jérôme AZEMA;12633;22.27;49.72;non
7_1;77920;37.58;SOC;Hervé SAULIGNAC;16993;21.81;58.02;elu
7_1;77920;37.58;REM;André DUPONT;12293;15.78;41.98;non
9_2;60675;40.98;FI;Michel LARIVE;12570;20.72;50.56;elu
9_2;60675;40.98;REM;Huguette BERTRAND-VINZERICH;12294;20.26;49.44;non
10_1;64359;48.31;REM;Grégory BESSON-MOREAU;11336;17.61;36.46;elu
10_1;64359;48.31;LR;Nicolas DHUICQ;10977;17.06;35.3;non
10_1;64359;48.31;FN;Bruno SUBTIL;8779;13.64;28.24;non
10_2;73880;40.39;LR;Valérie BAZIN-MALGRAS;16500;22.33;55.29;elu
10_2;73880;40.39;REM;Djamila HADDAD;13340;18.06;44.71;non
10_3;65654;37.2;LR;Gérard MENUEL;12876;19.61;52.72;elu
10_3;65654;37.2;MDM;Pascal LANDRÉAT;11548;17.59;47.28;non
11_1;95138;41.42;REM;Danièle HÉRIN;23114;24.3;58.65;elu
11_1;95138;41.42;FN;Christophe BARTHÈS;16295;17.13;41.35;non
8_3;57029;41.48;LR;Jean-Luc WARSMANN;17678;31.0;74.72;elu
