circo;EXG;FG;PS;EELV;MODEM;UMP;FN
1_1;CAROLE GUENARD GERBAUD;SÉBASTIEN BOILEAU;JEAN-FRANÇOIS DEBAT;NADIA ALLOUACHE;;XAVIER BRETON;CLÉMENT PERRIN
1_2;VINCENT GOUTAGNY;KATIA PHILIPPE;MICHEL RAYMOND;PAUL VERNAY;MARIE-JEANNE BEGUET;CHARLES DE LA VERPILLIERE;OLIVIER EYRAUD
1_3;ERIC LAHY;YVES THOUMINE;JEAN-MARC FOGNINI;CHRISTINE FRANQUET;;ETIENNE BLANC;GAËTAN NOBLET
1_4;JEAN-FRANÇOIS MORTEL;DANIEL BLATRIX;GUILLAUME LACROIX;NICOLAS ZIELINSKI;;MICHEL VOISIN;CORINNE MOSSIRE
1_5;JEAN-MICHEL BOULME;MYLÈNE FERRI;JOSIANE EXPOSITO;JEAN GALIENNE;;DAMIEN ABAD;PATRICK SOKOLOWSKI
2_1;JEAN-LOUP PERNELLE;CLAUDINE BRUNET;RENÉ DOSIERE;CLAIRE BRIL;;AUDE BONO;JEAN-LOUIS ROUX
2_2;MICHEL AURIGNY;GUY FONTAINE;ANNE FERREIRA;SYLVIE GLINATSIS;PAUL GIRONDE;XAVIER BERTRAND;YANNICK LEJEUNE
2_3;JEAN-PIERRE VITU;RÉGIS LECOYER;JEAN-LOUIS BRICOUT;;;FRÉDÉRIC MEURA;BERTRAND DUTHEIL DE LA ROCHERE
2_4;LAETITIA VOISIN;JEAN-LUC LANOUILH;MARIE-FRANÇOISE BECHTEL;STÉPHANIE LEBEE;;CHARLES-EDOUARD LAURISTON;EVELYNE RUELLE
2_5;SYLVIE GERET;MIREILLE AUSECACHE;JACQUES KRABAL;DOMINIQUE JOURDAIN;;ISABELLE VASSEUR;FRANCK BRIFFAUT
3_1;BERNARD LEBEL;MARIE-FRANÇOISE LACARIN;GUY CHAMBEFORT;GÉRARD MATICHARD;;PIERRE-ANDRÉ PERISSOL;YVES LECRIQUE
3_2;RENÉ CASILLA;LUC BOURDUGE;BERNARD LESTERLIN;MARIE COUVAL;;DANIEL DUGLERY;PASCAL COURTY
3_3;MONIQUE ROCHE;PASCALE SEMET;GÉRARD CHARASSE;ANNE BABIAN-LHERMET;SYLVIE RASILE;CLAUDE MALHURET;CLAUDINE LOPEZ
4_1;CAROLINE ALONSO;JEAN-LOUIS PIN;GILBERT SAUVAN;GÉRARD DE MEESTER;FRÉDÉRIC SANTIAGO;ELIANE BARREILLE;GHISLAINE AUBERT
4_2;BRIGITTE PICARD;MARTINE CARRIOL;CHRISTOPHE CASTANER;CATHERINE BERTHONNECHE;ISABELLE VERSCHUEREN;JEAN-CLAUDE CASTEL;JEAN-CLAUDE DIEDRICH
5_1;FABRICE ROSAY;JEAN-CLAUDE EYRAUD;KARINE BERGER;BERNARD DERBEZ;THIERRY PAJOT;JEAN COINTE;ELODIE MONIER
5_2;VÉRONIQUE BUISSON;CATHERINE GUIGLI;JOËL GIRAUD;FRANCINE DAERDEN;;CHANTAL EYMEOUD;SOPHIE BRIAND
6_1;LOÏC FORTUIT;ROBERT INJEY;PATRICK ALLEMAND;MARYSE ULLMANN;CHRISTIAN RAZEAU;ERIC CIOTTI;
6_2;ALAIN BOUILLEAUX;FRÉDÉRIQUE CATTAERT;FABRICE LACHENMAIER;ANDRÉ ASCHIERI;;CHARLES-ANGE GINESY;JEAN-MARC DEGIOANNI
6_3;BRUNO DELLA SUDDA;ROSELINE GRAC;CHRISTINE DOREJO;MARIE-JOSÉ VALLADE;MAROUANE BOULOUDHNINE;RUDY SALLES;GAËL NOFRI
6_4;JOSEPH MARKIEL;FRANCIS TUJAGUE;PASCALE GERARD;JEAN-PHILIPPE SECORDEL-MARTIN;;JEAN-CLAUDE GUIBAL;LYDIA SCHENARDI
6_5;FLORENCE CIARAVOLA;EMMANUELLE GAZIELLO;PAUL CUTURELLO;BRIGITTE BALLOUARD;GILDAS DUPRÉ;CHRISTIAN ESTROSI;DANIELLE CARDIN
6_6;DANIÈLE BARTOLI;PHILIPPE GANDIN;SYLVIE GAUTIER;OONAGH WELDON;;LIONNEL LUCA;HUBERT DE MESMAY
6_7;PHILIPPE CARENZO;CÉCILE DUMAS;ERIC MARTIN;MAURICE GILLARD;;JEAN LEONETTI;MATHILDE VIOT
6_8;LILIANE PECOUT;SYLVIE ROLLY;;ELISABETH DEBORDE;;BERNARD BROCHAND;ADRIEN GROSJEAN
6_9;ROBERT GIARDINA;PIERRE BERNASCONI;MARIE-LOUISE GOURDON;PASCAL DUCREUX;;MICHÈLE TABAROT;MARLÈNE ORFILA
7_1;PATRICIA SONCINI-SYREN;FRANÇOIS JACQUART;PASCAL TERRASSE;STÉPHANE ORIOL;ANDRÉ DUPONT;GUÉRIN DE LONGEVIALLE;CHRISTIAN GRANGIS
7_2;PASCAL GUION;MYRIAM NORMAND;OLIVIER DUSSOPT;JUSTINE ARNAUD;CLAUDE ESCANDE;MATHIEU DARNAUD;VÉRONIQUE GATHERCOLE
7_3;RICHARD NEUVILLE;VÉRONIQUE LOUIS;SABINE BUIS;MAGALIE MARGOTTON;ROGER KAPPEL;JEAN-CLAUDE FLORY;ISABELLE CIET
8_1;JOËL NOUET;SYLVAIN DALLA ROSA;CLAUDINE LEDOUX;CHRISTOPHE DUMONT;VIRGINIE LAUBY HERBER-SUFFRIN;BÉRENGÈRE POLETTI;ANNE-SOPHIE LECLERE
8_2;MINK TAKAWE;MICHÈLE LEFLON;CHRISTOPHE LEONARD;SYLVAIN BAUMEL;;BORIS RAVIGNON;BENOÎT GIRARD
8_3;NADIA OCTAVE;CLAUDETTE MORAINE;NELLY FESSEAU;SOPHIE PERRIN;;JEAN-LUC WARSMANN;LAURENT GUILBERT
9_1;CÉLINE BARA;MICHEL LARIVE;FRÉDÉRIQUE MASSAT;PASCALE AOURA;JOËL RAUSA;NICOLE GERONA;JACQUES WARNKE
9_2;PIERRE GRANET;VIVIANE BAUDRY;ALAIN FAURÉ;JIMMY GIMENEZ;LINDA MANCEAU;PHILIPPE CALLEJA;THÉRÈSE ALIOT
10_1;LIONEL PAILLARD;;RENÉ GAUDOT;MARIE-LAURENCE EGMANN;PASCAL LANDREAT;NICOLAS DHUICQ;BRUNO SUBTIL
10_2;MARIE-PIERRE MARC;JEAN-PIERRE CORNEVIN;YVES FOURNIER;CLAUDINE FRANÇOIS-WILSER;KARIMA OUADAH;JEAN-CLAUDE MATHIS;GÉRARD CIANNI
10_3;PIERRE BISSEY;PIERRE MATHIEU;LORETTE JOLY;GHISLAIN WYSOCINSKI;ALAIN CARSENTI;FRANÇOIS BAROIN;MIREILLE CAZARD
11_1;GÉRARD SCHIVARDI;ROSINE CHARLUT;JEAN-CLAUDE PEREZ;CHRISTINE STHÉMER;ISABELLE FILLON;MONIQUE BOONEN;ROBERT MORIO
11_2;ANNETTE VIGIER;JEAN-PAUL TOURNISSA;MARIE-HÉLÈNE FABRE;ANDRÉ SARFATI;;MICHEL PY;LAURE-EMMANUELLE PHILIPPE
11_3;DOMINIQUE GALONNIER;MARIE-ANGÈLE LARRUY;JEAN-PAUL DUPRE;JACQUES CROS;;EMMANUEL BRESSON;MARIE-JOSÉE SUTTER
12_1;ARLETTE SAINT-AVIT;GUILHEM SERIEYS;MONIQUE BULTEL-HERMENT;BRUNO BERARDI;;YVES CENSI;JEAN-GUILLAUME REMISE
12_2;YANN PUECH;ALINE LOUANGVANNASY;MARIE-LOU MARCEL;JEAN-LOUIS CALMETTES;;LAURENT TRANIER;PHILIPPE BRAMM
12_3;NICOLAS BESTARD;JEAN-LUC POUGET;BÉATRICE MARRE;MARIE-THÉRÈSE FOULQUIER;;ALAIN MARC;MARIE-CLAUDE FAYARD
13_1;MARC CECON;CATHERINE BARTOLI;CHRISTOPHE MASSE;LAURENCE VICHNIEVSKY;NATHALIE COULLET;VALÉRIE BOYER;ELISABETH PHILIPPE
13_2;MARIE CONTAUX;CHRISTIAN PELLICANI;JEAN-PIERRE MIGNARD;DOMINIQUE SURRY;FLORENCE BISTAGNE;DOMINIQUE TIAN;ALEXANDRE BARTOLINI
13_3;VICTOR-HUGO ESPINOSA;MARIE BATOUX;SYLVIE ANDRIEUX;MICHÈLE PONCET-RAMADE;ANNE-MARIE TAPIERO;NORA PREZIOSI;STÉPHANE RAVIER
13_4;KÉVIN VACHER;MARIE-JOSÉ CERMOLACCE;PATRICK MENNUCCI;SÉBASTIEN BARLES;SOPHIE GOY;SOLANGE BIAGGI;MARIE-CLAUDE AUCOUTURIER
13_5;JUNIE CICCIONE;FRÉDÉRIC DUTOIT;MARIE-ARLETTE CARLOTTI;MICHÈLE RUBIROLA-BLANC;HÉLÈNE COULOMB;RENAUD MUSELIER;JEANPIERRE BAUMANN
13_6;DAVID LARRIVEN;ANNA ROSSO ROIG;CÉDRIC MATTHEWS;PIERRE SEMERIVA;PATRICK FILOSA;GUY TEISSIER;LAURENT COMAS
