Dept_circo;Nom;Prenom;nuance;voix;%Voix/inscrit;%Voix/exprimes;Acces
1_1;LEPAGNOT;MAUDE;EXG;141;0,18;0,30;N
1_2;GOUTAGNY;VINCENT;EXG;224;0,26;0,43;N
1_3;LAHY;ERIC;EXG;160;0,23;0,43;N
1_4;DRACOS;ELECTRE;EXG;163;0,19;0,33;N
1_5;BOULME;JEAN-MICHEL;EXG;222;0,30;0,53;N
2_1;PERNELLE;JEAN-LOUP;EXG;285;0,39;0,67;N
2_2;AURIGNY;MICHEL;EXG;296;0,40;0,66;N
2_3;VITU;JEAN-PIERRE;EXG;377;0,54;0,93;N
2_4;VOISIN;LAETITIA;EXG;282;0,36;0,65;N
2_5;GERET;SYLVIE;EXG;489;0,60;1,03;N
3_1;LEBEL;BERNARD;EXG;429;0,47;0,78;N
3_2;MORET;JEAN-PAUL;EXG;121;0,14;0,23;N
3_3;ROCHE;MONIQUE;EXG;207;0,26;0,44;N
4_1;ALONSO;CAROLINE;EXG;192;0,32;0,52;N
4_2;BELMONTE;CYRIL;EXG;138;0,22;0,36;N
5_1;ROSAY;FABRICE;EXG;107;0,19;0,31;N
5_2;BUISSON;VÃ‰RONIQUE;EXG;126;0,25;0,41;N
6_1;BENKEMOUN;AGNÃˆS;EXG;86;0,10;0,19;N
6_2;BOUILLEAUX;ALAIN;EXG;146;0,18;0,30;N
6_3;PEREIRA;MARIE-JOSÃ‰;EXG;81;0,09;0,17;N
6_4;MARKIEL;JOSEPH;EXG;127;0,15;0,26;N
6_5;ALEXANDRE;JEAN-MARIE;EXG;74;0,09;0,15;N
6_6;FAVALE;PAUL;EXG;86;0,11;0,20;N
6_7;PETARD;CHRISTIAN;EXG;177;0,20;0,35;N
6_8;PECOUT;LILIANE;EXG;154;0,19;0,36;N
6_9;GIARDINA;ROBERT;EXG;120;0,16;0,28;N
7_1;VANDER DONCKT;MURIEL;EXG;225;0,29;0,50;N
7_2;MARCHISIO;CHRISTOPHE;EXG;179;0,20;0,32;N
7_3;SABATIER;MICHEL;EXG;251;0,33;0,51;N
8_1;NOUET;JOÃ‹L;EXG;214;0,29;0,51;N
8_2;TAKAWE;MINK;EXG;175;0,27;0,50;N
8_3;OCTAVE;NADIA;EXG;129;0,22;0,37;N
9_1;LAPEYRE;GISÃˆLE;EXG;182;0,32;0,53;N
9_2;SOUCHE;LUCILE;EXG;269;0,45;0,74;N
10_1;PAILLARD;LIONEL;EXG;586;0,91;1,53;N
10_2;MARC;MARIE-PIERRE;EXG;291;0,40;0,68;N
10_3;BERNAUD;CHRISTIAN;EXG;86;0,13;0,23;N
11_1;SCHIVARDI;GÃ‰RARD;EXG;2754;2,97;4,88;N
11_2;VIGIER;ANNETTE;EXG;161;0,19;0,32;N
11_3;GALONNIER;DOMINIQUE;EXG;294;0,34;0,53;N
12_1;SAINT-AVIT;ARLETTE;EXG;158;0,21;0,32;N
12_2;MOLINIE;PHILIPPE;EXG;212;0,30;0,47;N
12_3;COMBES;BERNARD;EXG;174;0,24;0,37;N
13_1;BAREAU;NICOLE;EXG;79;0,11;0,19;N
13_2;ESPAZE;BRIGITTE;EXG;96;0,12;0,21;N
13_3;BONNET;ISABELLE;EXG;179;0,25;0,49;N
13_4;VILLODRE;VICTOR;EXG;64;0,11;0,21;N
