Code du département;Code de la circonscription;Inscrits;JOLY;LE_PEN;SARKOZY;MELENCHON;POUTOU;ARTHAUD;CHEMINADE;BAYROU;DUPONT-AIGNAN;HOLLANDE
1;1;79016;1286;13482;18845;6038;697;404;156;6704;1465;15675
1;2;86823;1469;15610;22322;6778;634;330;177;7287;1584;16126
1;3;69832;1912;9072;17472;5572;604;267;178;6344;1177;12682
1;4;84491;1340;15186;22666;5748;680;404;183;6920;1636;15084
1;5;73646;1261;13190;16417;6762;708;389;166;5395;1346;13529
2;1;72609;742;14519;13626;5767;836;526;117;4013;1164;16717
2;2;73200;625;14585;14766;5927;593;422;147;3891;1121;16484
2;3;70339;472;15500;13422;5138;768;514;134;3182;1032;15481
2;4;78925;642;16050;13844;6960;753;480;152;4007;1139;16841
2;5;80995;974;17798;16432;6568;910;548;188;4802;1397;15228
3;1;90369;1229;13166;17001;10274;938;546;169;6151;1497;22305
3;2;86813;982;11832;15219;10932;894;512;155;5750;1255;21366
3;3;79093;1021;12738;17257;6763;752;424;133;5913;1316;17460
4;1;60613;1348;10785;12124;7454;722;259;128;3500;886;12385
4;2;63320;1585;10090;13544;7815;672;228;155;3983;959;12166
5;1;56117;1443;8545;11235;6363;498;250;101;4740;937;11513
5;2;50748;1704;6814;11420;5812;654;238;111;3819;845;9735
6;1;82234;1358;13669;21807;6236;389;167;140;3747;839;13867
6;2;82299;1772;15984;21592;6534;561;204;155;4888;1198;12733
6;3;87319;1295;16606;22145;6515;433;201;142;4394;911;15112
6;4;84775;1347;17607;23450;6375;515;223;152;3861;1218;11030
6;5;85302;1225;17396;23509;5883;458;173;141;4228;1073;13593
6;6;76051;1195;14790;23923;3883;358;131;105;4045;991;10234
6;7;89503;1889;13746;29151;5294;503;184;166;5691;1159;13161
6;8;80621;1106;13725;27046;4287;372;133;100;3683;879;11086
6;9;77184;1369;13459;24115;4486;459;160;137;4443;973;11174
7;1;76468;1572;13403;13552;9138;848;377;166;5292;1273;17039
7;2;90863;1910;15116;19561;8761;1043;524;215;7958;1599;18804
7;3;76020;2139;11697;14574;10348;859;356;140;5123;1018;16313
8;1;73103;744;14269;15052;4994;756;434;135;4812;1060;15552
8;2;64937;570;11978;10643;5233;595;347;122;3008;828;16133
8;3;58539;554;11381;11829;4033;630;404;109;3731;899;12756
9;1;56627;1383;7377;8108;8268;689;280;113;2948;640;16898
9;2;59743;1359;8748;9871;7929;707;248;108;3463;806;16105
10;1;64650;647;14255;16305;3619;544;358;122;4405;1177;10709
10;2;74378;940;14621;19131;4610;606;353;147;5133;1255;13326
10;3;64562;707;11864;13760;4631;482;279;138;4037;1092;12932
11;1;92914;1431;18260;15670;9938;889;380;135;4411;1061;24249
11;2;83707;1226;16691;15546;8825;802;341;142;3989;953;18685
11;3;87667;1859;15283;15585;9693;1033;395;181;4676;1170;22849
12;1;75555;1370;8438;18670;6740;712;287;137;8506;1081;17527
12;2;70784;1220;7433;12731;7928;777;320;156;7045;970;19846
12;3;72008;1653;9748;14950;7614;928;362;142;7258;1044;16120
13;1;73802;937;14714;17091;7203;373;185;102;3513;796;13618
13;2;77359;1691;10423;24511;6316;396;130;118;4443;688;13346
13;3;70255;794;14192;12881;7051;346;179;82;2630;611;15333
13;4;58642;1539;6243;7156;8604;365;185;86;1798;322;16895
13;5;68683;1516;10078;15224;7540;406;134;99;3463;647;14443
13;6;72502;982;13125;17702;6562;438;154;116;3428;737;13715
13;7;62963;567;10517;6072;8424;282;200;76;1344;359;17468
13;8;92844;1445;18705;21527;8036;632;290;177;5756;1272;16831
13;9;92567;1634;17613;22599;10553;589;224;151;4662;1064;15510
13;10;100091;1741;20710;22926;10959;633;301;189;5830;1175;17406
13;11;85219;1617;13742;21321;7864;401;200;149;5328;903;15723
13;12;88672;977;21070;18791;8450;573;244;138;3834;1010;15391
13;13;90488;1136;18495;14068;15567;848;395;181;3634;906;17073
13;14;93914;2362;12867;23068;8791;536;222;229;6538;1173;19280
13;15;98261;1748;21288;24371;8277;741;290;197;5778;1447;16125
13;16;88504;1291;19566;16867;9522;734;308;159;4103;977;16895
14;1;70127;1793;6188;14798;6655;727;307;137;6504;1022;19172
14;2;66999;1289;7353;10825;7267;754;346;147;5532;873;19825
14;3;78426;1101;12916;17097;6159;953;527;150;5684;1338;17072
14;4;97698;1387;13254;26852;7722;935;441;190;7167;1577;19824
14;5;86325;1555;11738;20808;6905;930;442;179;7578;1596;19642
14;6;90972;1444;13677;19365;7688;1086;578;205;8097;1821;22238
15;1;64476;871;7497;14142;5179;619;300;133;5435;874;17723
15;2;56486;663;7380;14009;3657;599;287;107;5545;756;12630
16;1;84091;1411;10476;14635;7767;836;342;142;5868;1158;23549
16;2;84766;1274;12611;17472;6787;1060;510;171;6333;1497;20279
16;3;91908;1158;14034;16184;9153;1188;608;210;6260;1623;24863
17;1;98777;2482;9118;22446;8831;924;341;145;7376;1266;26008
17;2;97478;1722;13084;20103;9026;1114;438;171;7330;1655;24042
17;3;81932;1320;11705;16460;7315;1021;441;156;6023;1456;19303
17;4;87772;1210;14821;20378;6329;1078;438;178;6349;1631;18026
17;5;105988;1644;17348;27044;7812;1255;503;238;7303;1892;20442
18;1;74882;984;11114;16156;7134;681;415;145;5422;1252;15334
18;2;70193;822;10257;12429;9597;689;435;118;4482;1030;14971
18;3;85842;1055;14454;16746;8348;848;537;170;6144;1543;18303
19;1;94710;1144;9942;15907;9405;855;332;137;5305;1333;35882
19;2;91991;1011;10842;17799;7057;726;327;140;5519;1244;31188
2A;1;47907;856;9112;10728;3220;441;102;88;1837;341;8459
2A;2;53775;802;9969;12895;3971;432;118;75;2232;456;8081
2B;1;54684;932;9995;12505;4600;503;154;93;1996;464;9670
2B;2;63983;1088;10133;14364;4043;498;128;81;1985;466;12819
21;1;67618;1611;7204;17901;5163;430;236;150;5731;895;16700
21;2;66116;1166;9956;15187;5001;530;281;128;4996;1019;15455
21;3;69129;1039;10891;13477;5944;569;302;121;4792;1097;17663
21;4;69026;1075;11963;15541;5538;756;402;136;5241;1231;14314
21;5;82900;1182;14458;20482;5850;785;410;159;6326;1398;16189
22;1;89049;2199;9121;16426;9538;912;444;186;8192;1144;25265
22;2;93735;1943;11304;21530;8107;1022;489;175;8489;1462;24973
22;3;86224;1357;11124;18914;7820;974;531;170;8201;1393;23121
22;4;79616;2016;9064;12667;10337;1058;516;189;6842;1081;23415
22;5;102337;3030;10939;21018;10501;1088;572;189;8516;1414;28559
23;1;96875;1369;12651;17280;10117;1156;557;195;6476;1502;26447
24;1;75024;1254;9878;13499;9351;856;369;123;4756;1136;20595
24;2;81118;1506;13526;15855;8154;878;340;179;5959;1208;18850
24;3;69063;1029;9492;13591;7644;802;376;120;4377;1140;18994
24;4;86728;1736;11139;16402;10340;997;395;188;5806;1363;24611
25;1;72913;1574;9446;15221;7699;636;362;116;5297;953;17178
25;2;76234;1934;9202;17429;8114;641;296;154;5712;1080;17599
25;3;65441;891;12213;14518;5036;650;424;138;4310;966;13893
25;4;67347;803;14330;11907;5480;700;435;133;3791;944;15341
