Code du département;Libellé du département;Code circonscription;Libellé circonscription;N° panneau;N° candidat;Sexe candidat;Nom candidat;Prénom candidat;Date naissance candidat;Nuance candidat;Profession candidat;personnalité candidat;Le candidat est sortant;Sexe Supp.;Nom Supp.;Prénom Supp;Date naiss. Supp.;Nuance Supp.;Personnalité Supp.;Le suppléant est sortant
1;Ain;1;1ère circonscription;1;51;M;MALLET;Laurent;15/06/1972;MDM;Ingénieur;;Non;F;ANDRE BRIGARD;Claire;28/10/1963;REM;;Non
1;Ain;1;1ère circonscription;2;19;F;BLATRIX-CONTAT;Florence;30/03/1966;SOC;Professeur du secondaire et techn.;;Non;M;FONTAINE;Michel;08/01/1949;SOC;;Non
1;Ain;1;1ère circonscription;3;2;F;LÉPAGNOT;Maude;01/08/1979;EXG;Professeur du secondaire et techn.;;Non;F;BERAUD;Roberte;27/11/1952;EXG;;Non
1;Ain;1;1ère circonscription;4;29;F;MARTIN ZEMLIK;Fabrine;08/06/1974;FI;Assistante sociale;;Non;M;TISSOT;Serge;30/10/1953;FI;;Non
1;Ain;1;1ère circonscription;5;18;M;BRETON;Xavier;25/11/1962;LR;Autre profession;DEP;Oui;M;FLOCHON;Jean-Yves;15/08/1958;LR;;Non
1;Ain;1;1ère circonscription;6;20;F;CARLIER;Marie;22/04/1966;DIV;Ingénieur;;Non;M;JÉGOUIC;Xavier;15/06/1978;DIV;;Non
1;Ain;1;1ère circonscription;7;43;F;RAIMONDO;Laurane;16/09/1988;ECO;Etudiant;;Non;M;MONTBOBIER;Stéphane;06/08/1968;ECO;;Non
1;Ain;1;1ère circonscription;8;35;M;FONTAINE;Jacques;11/10/1948;COM;Retraité de l'enseignement;;Non;F;CHANEL;Nadia;28/05/1954;COM;;Non
1;Ain;1;1ère circonscription;9;3;M;BUISSON;Jérôme;15/01/1973;FN;Professeur du secondaire et techn.;;Non;M;MAITRE;Christophe;22/04/1969;FN;;Non
1;Ain;1;1ère circonscription;10;59;M;BONNOT;Gilbert;20/12/1956;DIV;Employé (secteur privé);;Non;M;GUERIN;Vincent;20/07/1965;DIV;;Non
1;Ain;2;2ème circonscription;1;7;F;MICHAUD;Anne;14/07/1950;FN;Sans profession déclarée;;Non;M;MARIÉ;Patrick;29/06/1958;FN;;Non
1;Ain;2;2ème circonscription;2;44;F;COLIN;Albane;01/01/1980;ECO;Enseignant 1er deg.-directeur école;;Non;M;ROUX;Jean-Luc;08/11/1973;ECO;;Non
1;Ain;2;2ème circonscription;3;53;F;LEMERRE;Pascale;23/06/1971;DLF;Autre profession;;Non;M;RIGAUD;Nathanael;14/03/1989;DLF;;Non
1;Ain;2;2ème circonscription;4;47;M;SAHIN;Atila;04/08/1978;DIV;Commercant;;Non;M;MALIJI;Salah;01/04/1971;DIV;;Non
1;Ain;2;2ème circonscription;5;36;M;BRULLAND;Guy;18/05/1955;COM;Retraité de l'enseignement;;Non;F;CAILLOT;Janine;25/08/1952;COM;;Non
1;Ain;2;2ème circonscription;6;52;F;BEGUET;Marie Jeanne;17/04/1949;MDM;Retraité de l'enseignement;;Non;M;EL MAROUDI;Mohammed;30/09/1974;REM;;Non
1;Ain;2;2ème circonscription;7;5;M;GOUTAGNY;Vincent;17/03/1965;EXG;Ouvrier (secteur privé);;Non;F;GIRY;Annick;26/06/1957;EXG;;Non
1;Ain;2;2ème circonscription;8;4;M;DE LA VERPILLIÈRE;Charles;31/05/1954;LR;Grands corps de l'état;DEP;Oui;F;TERRIER;Caroline;27/11/1965;LR;;Non
1;Ain;2;2ème circonscription;9;6;F;THIEBAUT;Sylviane;18/05/1962;FI;Employé (secteur privé);;Non;M;COLAS;Dominique;15/06/1952;FI;;Non
1;Ain;2;2ème circonscription;10;8;F;CHOMETTE;Sandrine;10/07/1969;DIV;Autre profession libérale;;Non;M;DUPONT;Nicolas;16/05/1978;DIV;;Non
1;Ain;3;3ème circonscription;1;45;M;BORNE;Thierry;04/07/1960;DIV;Industriel-Chef entreprise;;Non;M;DANGLEHANT;François;24/03/1958;DIV;;Non
1;Ain;3;3ème circonscription;2;21;M;MERCIER;Jean;04/02/1987;ECO;Autre cadre (secteur privé);;Non;F;FRANQUET;Christine;25/08/1950;ECO;;Non
1;Ain;3;3ème circonscription;3;37;M;BLOCH;Jean Sébastien;05/02/1964;COM;Professeur du secondaire et techn.;;Non;F;GUIDON;Raphaela;05/11/1955;COM;;Non
1;Ain;3;3ème circonscription;4;24;F;GIVERNET;Olga;17/10/1981;REM;Ingénieur;;Non;M;RETHOUZE;Yves;31/10/1959;REM;;Non
1;Ain;3;3ème circonscription;5;38;F;SACCHI-HASSANEIN;Géraldine;28/09/1978;SOC;Professeur du secondaire et techn.;;Non;M;FOESSEL;David;07/06/1975;DVG;;Non
1;Ain;3;3ème circonscription;6;58;M;NOBLET;Gaëtan;05/08/1985;FN;Employé (secteur privé);;Non;M;FELLER;Florian;26/06/1984;FN;;Non
1;Ain;3;3ème circonscription;7;23;F;PERNOD BEAUDON;Stéphanie;13/10/1978;LR;Professeur du secondaire et techn.;DEP;Oui;M;HEDON;Jean-Yves;22/12/1962;LR;;Non
1;Ain;3;3ème circonscription;8;10;M;JOLIE;Christian;24/06/1972;FI;Cadre (entreprises publiques);;Non;F;POLSINELLI;Vic;04/06/1977;FI;;Non
1;Ain;3;3ème circonscription;9;9;M;LAHY;Éric;24/02/1966;EXG;Professeur du secondaire et techn.;;Non;F;BOUVIAIS;Françoise;20/01/1952;EXG;;Non
1;Ain;3;3ème circonscription;10;54;M;GENTILE;Fabrice;02/07/1971;DVG;Autre cadre (secteur privé);;Non;F;KHALLOUK;Laïla;19/12/1993;DVG;;Non
1;Ain;3;3ème circonscription;11;22;M;MOZER;Frédéric;23/03/1965;DIV;Ingénieur;;Non;M;PAUTRE;Laurent;01/05/1970;DIV;;Non
1;Ain;4;4ème circonscription;1;42;F;CHÊNE;Sylviane;03/09/1962;RDG;Autre cadre (secteur privé);;Non;F;DÉBIAS SAÏD;Sonia;16/09/1971;SOC;;Non
1;Ain;4;4ème circonscription;2;13;F;PARTENSKY-LEIBMAN;Anne;23/04/1953;ECO;Retraité fonct.publique (sf enseig.);;Non;M;ZIELINSKI;Nicolas;25/05/1973;ECO;;Non
1;Ain;4;4ème circonscription;3;31;M;BILLOUDET;Guy;07/03/1959;LR;Employé (secteur privé);;Non;M;MATHIAS;Patrick;19/10/1966;LR;;Non
1;Ain;4;4ème circonscription;4;55;M;ADAM;Xavier;06/09/1984;DIV;Autre cadre (secteur privé);;Non;M;ALCARAZ;Boris;28/04/1972;DIV;;Non
1;Ain;4;4ème circonscription;5;39;M;TROMPILLE;Stéphane;01/12/1982;REM;Employé (secteur privé);;Non;F;MAUGÉ;Emmanuelle;01/07/1975;REM;;Non
1;Ain;4;4ème circonscription;6;26;M;LOUBIGNES;Thierry;27/03/1969;DIV;Sans profession déclarée;;Non;M;DEGLUAIRE;Dominique;14/11/1984;DIV;;Non
1;Ain;4;4ème circonscription;7;12;M;ANTOINETTE;Yves;02/04/1958;DIV;Ingénieur;;Non;M;ANTOINETTE;Guillaume;25/03/1995;DIV;;Non
1;Ain;4;4ème circonscription;8;49;F;VEILLEROT;Annick;27/11/1957;DLF;Représentant de commerce;;Non;M;CLUZEL;Maurice;27/02/1955;DLF;;Non
1;Ain;4;4ème circonscription;9;14;F;HUGUET;Line;16/04/1993;FI;Etudiant;;Non;M;RAFFIN;Cédric;01/11/1981;FI;;Non
1;Ain;4;4ème circonscription;10;11;F;CHAUSSAT;Blanche;20/07/1984;FN;Salarié du secteur médical;;Non;M;VERGNAULT;Jean-Pierre;07/08/1951;FN;;Non
1;Ain;4;4ème circonscription;11;48;F;LUGA GIRAUD;Muriel;17/09/1960;UDI;Sans profession déclarée;;Non;M;CHANEL;Christian;18/11/1949;DVD;;Non
