numéro département;code circonscription;nom;nuance_politique;modele2rounded;voix_reel_t1_2017
1;1;Laurent MALLET;EM;13099;13534
1;1;Florence BLATRIX-CONTAT;PS;3630;3687
1;1;Fabrine MARTIN ZEMLIK;LFI;4992;3874
1;1;Xavier BRETON;LR;12357;10693
1;1;Laurane RAIMONDO;EELV;880;562
1;1;Jacques FONTAINE;PCF;700;656
1;1;Jérôme BUISSON;FN;9147;6174
1;2;Anne MICHAUD;FN;10338;7553
1;2;Albane COLIN;EELV;1940;2874
1;2;Pascale LEMERRE;LR;1608;1149
1;2;Guy BRULLAND;PCF;1139;676
1;2;Marie Jeanne BEGUET;EM;15426;16371
1;2;Charles DE LA VERPILLIÈRE;LR;10893;11182
1;2;Sylviane THIEBAUT;LFI;5650;4896
1;3;Jean MERCIER;EELV;859;1496
1;3;Jean Sébastien BLOCH;PCF;695;431
1;3;Olga GIVERNET;EM;12418;15405
1;3;Géraldine SACCHI-HASSANEIN;PS;3512;1468
1;3;Gaëtan NOBLET;FN;5657;3808
1;3;Stéphanie PERNOD BEAUDON;LR;11168;7281
1;3;Christian JOLIE;LFI;4483;3064
1;4;Anne PARTENSKY-LEIBMAN;EELV;1598;1391
1;4;Guy BILLOUDET;LR;9027;7178
1;4;Stéphane TROMPILLE;EM;14122;15492
1;4;Annick VEILLEROT;LR;1696;860
1;4;Line HUGUET;LFI;4423;3426
1;4;Blanche CHAUSSAT;FN;11102;7964
1;4;Muriel LUGA GIRAUD;LR;1116;3164
1;4;Catherine LATTARD;PCF;1042;348
1;5;Elodie SCHWANDER;PS;3074;1032
1;5;Claude JUILLET;LR;1212;637
1;5;Pénélope CHALON;FN;8792;5599
1;5;Bertrand JACQUIER;LFI;4869;3759
1;5;Damien ABAD;LR;8940;12743
1;5;Mylène FERRI;PCF;704;809
1;5;Carole PONTIER;EELV;851;1051
1;5;Hélène DE MEIRE;EM;10209;9149
2;1;Christophe COULON;LR;5942;5653
2;1;Brigitte FOURNIÉ TURQUIN;EELV;853;1306
2;1;Aude BONO-VANDORME;EM;8528;10043
2;1;Damien PHILIPPOT;FN;12442;9114
2;1;Jacques FERRAND;LR;1008;491
2;1;Fawaz KARIMET;PS;2617;4856
2;1;Jean-Marc CHAMBLAY;LFI;6128;2479
2;2;Julien DIVE;LR;11665;12099
2;2;Karl PINCHERELLE;PS;8304;2309
2;2;Corinne BECOURT;PCF;982;694
2;2;Sarah LEMPEREUR;LFI;4409;3457
2;2;Sylvie SAILLARD-MEUNIER;FN;10152;8349
2;2;Michel MAGNIEZ;EELV;645;721
2;2;Jean-Christophe SEUBE;LR;1118;607
2;3;Alexandra MORTET;LFI;3920;2352
2;3;Christophe PARENT;EELV;539;767
2;3;Jean-Louis BRICOUT;PS;2459;7556
2;3;Alain HUSILLOS-CRESPO;EM;7879;5755
2;3;Philippe TORRE;LR;1141;1242
2;3;Aurélien GALL;PCF;737;613
