circo;Inscrits;Exprimés;%_Exp/Ins;LFI;voix;%_Voix/Ins;%_Voix/Exp;PCF;voix;%_Voix/Ins;%_Voix/Exp;EELV;voix;%_Voix/Ins;%_Voix/Exp;PS;voix;%_Voix/Ins;%_Voix/Exp;EM;voix;%_Voix/Ins;%_Voix/Exp;UDI;voix;%_Voix/Ins;%_Voix/Exp;LR;voix;%_Voix/Ins;%_Voix/Exp;DLF;voix;%_Voix/Ins;%_Voix/Exp;FN;voix;%_Voix/Ins;%_Voix/Exp
1_1;82652;39180;47.4;Fabrine MARTIN ZEMLIK;3874;4.69;9.89;Jacques FONTAINE;656;0.79;1.67;Laurane RAIMONDO;562;0.68;1.43;Florence BLATRIX-CONTAT;3687;4.46;9.41;Laurent MALLET;13534;16.37;34.54;;0;0.0;0.0;Xavier BRETON;10693;12.94;27.29;;0;0.0;0.0;Jérôme BUISSON;6174;7.47;15.76
1_2;93332;43552;46.66;Sylviane THIEBAUT;4896;5.25;11.24;Guy BRULLAND;676;0.72;1.55;Albane COLIN;2874;3.08;6.6;;0;0.0;0.0;Marie Jeanne BEGUET;16371;17.54;37.59;;0;0.0;0.0;Charles DE LA VERPILLIÈRE;11182;11.98;25.68;;0;0.0;0.0;Anne MICHAUD;7553;8.09;17.34
1_3;75427;32953;43.69;Christian JOLIE;3064;4.06;9.3;Jean Sébastien BLOCH;431;0.57;1.31;Jean MERCIER;1496;1.98;4.54;Géraldine SACCHI-HASSANEIN;1468;1.95;4.45;Olga GIVERNET;15405;20.42;46.75;;0;0.0;0.0;Stéphanie PERNOD BEAUDON;7281;9.65;22.1;;0;0.0;0.0;Gaëtan NOBLET;3808;5.05;11.56
1_4;89262;31785;35.61;Line HUGUET;3426;3.84;10.78;Catherine LATTARD;348;0.39;1.09;Anne PARTENSKY-LEIBMAN;1391;1.56;4.38;;0;0.0;0.0;Stéphane TROMPILLE;15492;17.36;48.74;;0;0.0;0.0;Muriel LUGA GIRAUD;3164;3.54;9.95;;0;0.0;0.0;Blanche CHAUSSAT;7964;8.92;25.06
1_5;75213;34142;45.39;Bertrand JACQUIER;3759;5.0;11.01;Mylène FERRI;809;1.08;2.37;Carole PONTIER;1051;1.4;3.08;Elodie SCHWANDER;1032;1.37;3.02;Hélène DE MEIRE;9149;12.16;26.8;;0;0.0;0.0;Damien ABAD;12743;16.94;37.32;;0;0.0;0.0;Pénélope CHALON;5599;7.44;16.4
2_1;72292;28289;39.13;Jean-Marc CHAMBLAY;2479;3.43;8.76;;0;0.0;0.0;Brigitte FOURNIÉ TURQUIN;1306;1.81;4.62;Fawaz KARIMET;4856;6.72;17.17;Aude BONO-VANDORME;10043;13.89;35.5;;0;0.0;0.0;Jacques FERRAND;491;0.68;1.74;;0;0.0;0.0;Damien PHILIPPOT;9114;12.61;32.22
2_2;73948;16137;21.82;Sarah LEMPEREUR;3457;4.67;21.42;Corinne BECOURT;694;0.94;4.3;Michel MAGNIEZ;721;0.98;4.47;Karl PINCHERELLE;2309;3.12;14.31;;0;0.0;0.0;;0;0.0;0.0;Jean-Christophe SEUBE;607;0.82;3.76;;0;0.0;0.0;Sylvie SAILLARD-MEUNIER;8349;11.29;51.74
2_3;68126;29997;44.03;Alexandra MORTET;2352;3.45;7.84;Aurélien GALL;613;0.9;2.04;Christophe PARENT;767;1.13;2.56;Jean-Louis BRICOUT;7556;11.09;25.19;Alain HUSILLOS-CRESPO;5755;8.45;19.19;;0;0.0;0.0;Laurent MARLOT;4841;7.11;16.14;;0;0.0;0.0;Paul-Henry HANSEN-CATTA;8113;11.91;27.05
2_4;79155;30695;38.78;Sylvie HEYVAERTS;2995;3.78;9.76;Michel CARREAU;2427;3.07;7.91;Francis MEULEY;611;0.77;1.99;;0;0.0;0.0;Marc DELATTE;9683;12.23;31.55;;0;0.0;0.0;Isabelle LÉTRILLART;6969;8.8;22.7;;0;0.0;0.0;Jean MESSIHA;8010;10.12;26.1
2_5;82231;31446;38.24;Omar FENARDJI;3939;4.79;12.53;;0;0.0;0.0;Dominique JOURDAIN;2426;2.95;7.71;;0;0.0;0.0;Jacques KRABAL;14206;17.28;45.18;;0;0.0;0.0;Michelle SAPORI;764;0.93;2.43;;0;0.0;0.0;François DE VOYER;10111;12.3;32.15
3_1;89715;33193;37.0;;0;0.0;0.0;Jean-Paul DUFRÈGNE;10351;11.54;31.18;Luderce POINAMBALOM;894;1.0;2.69;Magali ALEXANDRE;3079;3.43;9.28;Pauline RIVIERE;13267;14.79;39.97;;0;0.0;0.0;Corentin BLACHE;896;1.0;2.7;;0;0.0;0.0;Michèle CIUCH;4706;5.25;14.18
3_2;84644;29239;34.54;Sylvain BOURDIER;7510;8.87;25.68;;0;0.0;0.0;Philippe BUVAT;1325;1.57;4.53;Nicolas BRIEN;4725;5.58;16.16;Laurence VANCEUNEBROCK-MIALON;10827;12.79;37.03;;0;0.0;0.0;Jean DEMASSE;707;0.84;2.42;;0;0.0;0.0;Elisabeth CAMUS;4145;4.9;14.18
3_3;79149;24990;31.57;Marie-Thérèse DUPUIS;3311;4.18;13.25;;0;0.0;0.0;Pascal DEVOS;1982;2.5;7.93;;0;0.0;0.0;Bénédicte PEYROL;13562;17.13;54.27;;0;0.0;0.0;Marie-Laure BECOUZE;909;1.15;3.64;;0;0.0;0.0;Jean-Pierre SIGAUD;5226;6.6;20.91
4_1;61220;25378;41.45;Emmanuelle GAZIELLO;4736;7.74;18.66;Gérard ESMIOL;1580;2.58;6.23;Colette CHARRIAU;1621;2.65;6.39;;0;0.0;0.0;Delphine BAGARRY;10640;17.38;41.93;;0;0.0;0.0;Marie-Anne BAUDOUI MAUREL;1299;2.12;5.12;;0;0.0;0.0;Odile BRUN;5502;8.99;21.68
4_2;65358;27387;41.9;Léo WALTER;5622;8.6;20.53;Isabelle THIBAULT;877;1.34;3.2;Claudine RAZEAU;786;1.2;2.87;;0;0.0;0.0;Christophe CASTANER;14957;22.88;54.61;;0;0.0;0.0;Noël CHUISANO;534;0.82;1.95;;0;0.0;0.0;Christian GIRARD;4611;7.05;16.84
5_1;57744;25459;44.09;Éléonore FLANDIN;3548;6.14;13.94;Pierre VILLARD;884;1.53;3.47;Chantal SARRUT;427;0.74;1.68;Karine BERGER;3320;5.75;13.04;Pascale BOYER;9258;16.03;36.36;;0;0.0;0.0;Catherine ASSO;4084;7.07;16.04;;0;0.0;0.0;Patrick DEROIN;3938;6.82;15.47
5_2;52163;24210;46.41;Christophe TASSAUX;3357;6.44;13.87;;0;0.0;0.0;Agnès ANTOINE;2224;4.26;9.19;;0;0.0;0.0;Joël GIRAUD;12566;24.09;51.9;;0;0.0;0.0;Chantal EYMEOUD;3029;5.81;12.51;;0;0.0;0.0;Laurence LEGUEM;3034;5.82;12.53
6_1;80459;36827;45.77;Robert INJEY;4116;5.12;11.18;;0;0.0;0.0;Moussa BA;388;0.48;1.05;Yann LIBRATI;1229;1.53;3.34;Caroline REVERSO-MEINIETTI;12599;15.66;34.21;;0;0.0;0.0;Eric CIOTTI;13630;16.94;37.01;;0;0.0;0.0;Jean-Pierre DAUGREILH;4865;6.05;13.21
6_2;85688;31299;36.53;Sonia NAFFATI;3942;4.6;12.59;Jean-Louis FIORI;1545;1.8;4.94;Brigitte REYNARD;1511;1.76;4.83;;0;0.0;0.0;Loîc DOMBREVAL;14364;16.76;45.89;;0;0.0;0.0;Eliette TROUCHE;771;0.9;2.46;;0;0.0;0.0;Jérôme COCHET;9166;10.7;29.29
6_3;89098;35122;39.42;Bruno COULET;4459;5.0;12.7;;0;0.0;0.0;;0;0.0;0.0;Raphaël GALMICHE;1284;1.44;3.66;Cédric ROUSSEL;12727;14.28;36.24;;0;0.0;0.0;Rudy SALLES;8176;9.18;23.28;;0;0.0;0.0;Philippe VARDON;8476;9.51;24.13
6_4;85748;33206;38.73;Zohra BRIAND;2637;3.08;7.94;Michaël ALBIN;2310;2.69;6.96;;0;0.0;0.0;;0;0.0;0.0;Alexandra VALETTA ARDISSON;11045;12.88;33.26;;0;0.0;0.0;Xavier BECK;8075;9.42;24.32;;0;0.0;0.0;Olivier BETTATI;9139;10.66;27.52
6_5;87923;15877;18.06;Philippe PELLEGRINI;3978;4.52;25.06;;0;0.0;0.0;Christine BEYL;611;0.69;3.85;Jacqueline DEVIER;1472;1.67;9.27;;0;0.0;0.0;;0;0.0;0.0;Thibault DELHEZ;868;0.99;5.47;;0;0.0;0.0;Chantal AGNELY;8948;10.18;56.36
6_6;78084;33843;43.34;Prune HELFTER-NOAH;2416;3.09;7.14;Jean-François TÉALDI;590;0.76;1.74;Antoine MARCHESE;686;0.88;2.03;Michel GAILLARD;568;0.73;1.68;Nathalie AUDIN;12047;15.43;35.6;;0;0.0;0.0;Laurence TRASTOUR-ISNART;10010;12.82;29.58;;0;0.0;0.0;Yoann SALIBA;7526;9.64;22.24
6_7;92847;27762;29.9;Philippe CARENZO;3182;3.43;11.46;Cécile DUMAS;1138;1.23;4.1;Elisabeth DEBORDE;1535;1.65;5.53;;0;0.0;0.0;Khaled BEN ABDERRAHMANE;14225;15.32;51.24;;0;0.0;0.0;Sophie MORI;964;1.04;3.47;;0;0.0;0.0;Lionel TIVOLI;6718;7.24;24.2
6_8;82014;33472;40.81;Maddy VARD;2264;2.76;6.76;Christine SCHOUVER;388;0.47;1.16;Fabien TORRES;675;0.82;2.02;Antoine BABU;664;0.81;1.98;Philippe BUERCH;11199;13.65;33.46;;0;0.0;0.0;Bernard BROCHAND;10919;13.31;32.62;;0;0.0;0.0;Anne KESSLER;7363;8.98;22.0
6_9;79900;34426;43.09;Denis LEBLANC;2580;3.23;7.49;Odile CLEMENTE;489;0.61;1.42;;0;0.0;0.0;Louis ACACIO;761;0.95;2.21;Dominique FILLEBEEN;12869;16.11;37.38;;0;0.0;0.0;Michèle TABAROT;10912;13.66;31.7;;0;0.0;0.0;Nathalie PAVARD;6815;8.53;19.8
7_1;77905;36812;47.25;Luisa GAILLARD SANCHEZ;5117;6.57;13.9;Francois JACQUART;1812;2.33;4.92;Olivier KELLER;1410;1.81;3.83;Hervé SAULIGNAC;7422;9.53;20.16;André DUPONT;9203;11.81;25.0;;0;0.0;0.0;François ARSAC;5972;7.67;16.22;;0;0.0;0.0;Céline PORQUET;5876;7.54;15.96
7_2;93041;44076;47.37;Samia HASNAOUI;4897;5.26;11.11;Daniel BABAROSSA;859;0.92;1.95;Nadia SENNI;1460;1.57;3.31;Olivier DUSSOPT;11531;12.39;26.16;Laurette GOUYET-POMMARET;12718;13.67;28.85;;0;0.0;0.0;Marc-Antoine QUENETTE;6585;7.08;14.94;;0;0.0;0.0;Odile LASFARGUES-BOUYON;6026;6.48;13.67
7_3;78312;40883;52.21;Alain JOFFRE;5970;7.62;14.6;Carole DAUDAN;1114;1.42;2.72;Guillaume VERMOREL;1881;2.4;4.6;Sabine BUIS;7741;9.88;18.93;Matthieu PEYRAUD;10748;13.72;26.29;;0;0.0;0.0;Fabrice BRUN;8365;10.68;20.46;;0;0.0;0.0;Thierry ARSAC;5064;6.47;12.39
8_1;73335;33148;45.2;Françoise VERLHAC;2040;2.78;6.15;Sylvain DALLA-ROSA;1282;1.75;3.87;Christophe DUMONT;1491;2.03;4.5;;0;0.0;0.0;Jean-Pierre MORALI;8004;10.91;24.15;;0;0.0;0.0;Bérengère POLETTI;13053;17.8;39.38;;0;0.0;0.0;Sophie LORENZO;7278;9.92;21.96
8_2;63879;27494;43.04;Michel CARTIAUX;2971;4.65;10.81;Igor NIVELET;609;0.95;2.22;Jean PIERRARD;397;0.62;1.44;Christophe LEONARD;4612;7.22;16.77;Mario IGLESIAS;6269;9.81;22.8;;0;0.0;0.0;Pierre CORDIER;7212;11.29;26.23;;0;0.0;0.0;Guillaume LUCZKA;5424;8.49;19.73
8_3;57165;27513;48.13;Sophie PERRIN;2528;4.42;9.19;Dalila MAOUCHE;328;0.57;1.19;Cédric SAUVAGE;155;0.27;0.56;Didier HERBILLON;2591;4.53;9.42;Christelle VORILLION;4063;7.11;14.77;;0;0.0;0.0;Jean-Luc WARSMANN;12931;22.62;47.0;;0;0.0;0.0;Amandine BLOMME;4917;8.6;17.87
9_1;56738;25859;45.58;Bénédicte TAURINE;6125;10.8;23.69;José NAVARRO;929;1.64;3.59;;0;0.0;0.0;Martine ESTEBAN;4093;7.21;15.83;Jérôme AZEMA;9478;16.7;36.65;;0;0.0;0.0;Marie-Noëlle SAMARCQ;1616;2.85;6.25;;0;0.0;0.0;Laurence LEFORT;3618;6.38;13.99
9_2;60671;26447;43.59;Michel LARIVE;5977;9.85;22.6;Vincent HEREDIA;671;1.11;2.54;Jérôme BROSSERON;1272;2.1;4.81;Alain FAURÉ;5602;9.23;21.18;Huguette BERTRAND-VINZERICH;8161;13.45;30.86;;0;0.0;0.0;Bernadette DEDIEU-COUMENAY;327;0.54;1.24;;0;0.0;0.0;Bernard GONDRAN;4437;7.31;16.78
