circo;Inscrits;Abstentions;%_Abs/Ins;Votants;%_Vot/Ins;Blancs;%_Blancs/Ins;%_Blancs/Vot;Nuls;%_Nuls/Ins;%_Nuls/Vot;Exprimés;%_Exp/Ins;%_Exp/Vot;macron;le_pen;fillon;melenchon;hamon;dupont-aignan;lassalle;poutou;asselineau;arthaud;cheminade
1_1;82652;15998;19.36;66654;80.64;1358;1.64;2.04;406;0.49;0.61;64890;78.51;97.35;14403;16500;13460;10221;3712;4106;732;614;622;401;119
1_2;93332;16742;17.94;76590;82.06;1397;1.5;1.82;437;0.47;0.57;74756;80.1;97.61;17395;19319;15714;11711;3625;4507;598;588;788;382;129
1_3;75427;16689;22.13;58738;77.87;964;1.28;1.64;328;0.43;0.56;57446;76.16;97.8;14550;10700;13888;9695;3238;2979;614;592;812;272;106
1_4;89262;16003;17.93;73259;82.07;1469;1.65;2.01;587;0.66;0.8;71203;79.77;97.19;15692;19428;15749;9739;3321;4818;699;637;570;414;136
1_5;75213;16075;21.37;59138;78.63;1154;1.53;1.95;480;0.64;0.81;57504;76.45;97.24;11652;15508;10994;10370;2815;3378;822;667;820;373;105
2_1;72292;14556;20.14;57736;79.86;943;1.3;1.63;444;0.61;0.77;56349;77.95;97.6;10470;20175;8761;9282;2583;2859;466;627;421;608;97
2_2;73948;16219;21.93;57729;78.07;1024;1.38;1.77;425;0.57;0.74;56280;76.11;97.49;10920;18356;9824;10080;2398;2773;399;614;343;481;92
2_3;68126;14338;21.05;53788;78.95;1004;1.47;1.87;503;0.74;0.94;52281;76.74;97.2;7977;20901;8651;7987;2108;2625;443;593;354;543;99
2_4;79155;18629;23.53;60526;76.47;980;1.24;1.62;477;0.6;0.79;59069;74.62;97.59;10746;20974;8990;10755;2508;2891;431;630;503;532;109
2_5;82231;16441;19.99;65790;80.01;1096;1.33;1.67;533;0.65;0.81;64161;78.03;97.52;11567;22364;10743;10846;2633;3503;525;692;550;599;139
3_1;89715;18171;20.25;71544;79.75;1496;1.67;2.09;1074;1.2;1.5;68974;76.88;96.41;16276;15318;12923;14043;3949;3525;904;835;473;594;134
3_2;84644;19560;23.11;65084;76.89;1481;1.75;2.28;707;0.84;1.09;62896;74.31;96.64;14692;13669;10891;14077;3588;3037;998;795;491;544;114
3_3;79149;16544;20.9;62605;79.1;1358;1.72;2.17;657;0.83;1.05;60590;76.55;96.78;14683;14017;12643;10191;3082;3233;1084;692;458;402;105
4_1;61220;11285;18.43;49935;81.57;907;1.48;1.82;383;0.63;0.77;48645;79.46;97.42;9565;12815;8346;10737;2438;2388;899;615;457;279;106
4_2;65358;13038;19.95;52320;80.05;901;1.38;1.72;350;0.54;0.67;51069;78.14;97.61;10395;11648;10096;11711;2545;2473;822;563;475;242;99
5_1;57744;10991;19.03;46753;80.97;791;1.37;1.69;348;0.6;0.74;45614;78.99;97.56;10204;10302;8255;9528;2710;2550;767;533;465;234;66
5_2;52163;9830;18.84;42333;81.16;750;1.44;1.77;270;0.52;0.64;41313;79.2;97.59;8744;8172;8390;9268;2399;2388;842;516;318;177;99
6_1;80459;19445;24.17;61014;75.83;793;0.99;1.3;379;0.47;0.62;59842;74.38;98.08;12581;14144;16070;10658;2701;1952;491;347;636;188;74
6_2;85688;17045;19.89;68643;80.11;1171;1.37;1.71;357;0.42;0.52;67115;78.32;97.77;12398;19996;15531;10998;2549;3238;795;511;693;251;155
6_3;89098;20671;23.2;68427;76.8;948;1.06;1.39;376;0.42;0.55;67103;75.31;98.07;13254;18031;16533;11895;2772;2588;572;412;731;218;97
6_4;85748;18421;21.48;67327;78.52;1016;1.18;1.51;381;0.44;0.57;65930;76.89;97.93;10584;21772;16561;9820;1997;2939;730;475;711;237;104
6_5;87923;18446;20.98;69477;79.02;971;1.1;1.4;416;0.47;0.6;68090;77.44;98;12499;20800;16905;10591;2353;2908;699;381;688;184;82
6_6;78084;15109;19.35;62975;80.65;1121;1.44;1.78;163;0.21;0.26;61691;79.01;97.96;11529;18287;17858;7510;1862;2988;479;324;616;138;100
