circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
1_1;UMP;XAVIER BRETON;2nd tour;30.55;23.78
1_2;UMP;CHARLES DE LA VERPILLIERE;2nd tour;32.73;24.84
1_3;UMP;ETIENNE BLANC;2nd tour;29.43;24.08
1_4;UMP;MICHEL VOISIN;2nd tour;32.98;25.89
1_5;UMP;DAMIEN ABAD;2nd tour;29.41;22.37
2_1;PS;RENÉ DOSIERE;2nd tour;25.59;20.34
2_2;PS;ANNE FERREIRA;2nd tour;24.9;19.31
2_3;PS;JEAN-LOUIS BRICOUT;2nd tour;24.18;21.57
2_4;PS;MARIE-FRANÇOISE BECHTEL;2nd tour;24.84;19.36
2_5;PS;JACQUES KRABAL;2nd tour;22.97;17.86
3_1;PS;GUY CHAMBEFORT;2nd tour;29.48;22.71
3_2;PS;BERNARD LESTERLIN;2nd tour;30.02;22.93
3_3;UMP;CLAUDE MALHURET;2nd tour;28.66;21.49
4_1;UMP;ELIANE BARREILLE;2nd tour;27.58;19.95
4_2;UMP;JEAN-CLAUDE CASTEL;2nd tour;27.78;20.75
5_1;UMP;JEAN COINTE;2nd tour;27.36;20.41
5_2;UMP;CHANTAL EYMEOUD;2nd tour;27.35;21.83
6_1;UMP;ERIC CIOTTI;2nd tour;30.21;29.96
6_2;UMP;CHARLES-ANGE GINESY;2nd tour;24.42;24.84
6_3;UMP;RUDY SALLES;2nd tour;23.62;23.58
6_4;UMP;JEAN-CLAUDE GUIBAL;2nd tour;25.07;25.5
6_5;UMP;CHRISTIAN ESTROSI;2nd tour;25.32;25.33
6_6;UMP;LIONNEL LUCA;2nd tour;27.71;28.22
6_7;UMP;JEAN LEONETTI;2nd tour;34.89;28.7
6_8;UMP;BERNARD BROCHAND;2nd tour;36.42;29.37
6_9;UMP;MICHÈLE TABAROT;2nd tour;34.79;27.9
7_1;PS;PASCAL TERRASSE;2nd tour;28.19;20.55
7_2;UMP;MATHIEU DARNAUD;2nd tour;29.29;21.82
7_3;PS;SABINE BUIS;2nd tour;28.48;20.45
8_1;PS;CLAUDINE LEDOUX;2nd tour;23.51;18.39
8_2;PS;CHRISTOPHE LEONARD;2nd tour;27.0;21.19
8_3;PS;NELLY FESSEAU;2nd tour;24.27;19.48
9_1;PS;FRÉDÉRIQUE MASSAT;2nd tour;33.81;25.64
9_2;PS;ALAIN FAURÉ;2nd tour;31.45;23.6
10_1;UMP;NICOLAS DHUICQ;2nd tour;24.68;24.62
10_2;UMP;JEAN-CLAUDE MATHIS;2nd tour;24.73;24.6
10_3;UMP;FRANÇOIS BAROIN;2nd tour;28.85;21.06
11_1;PS;JEAN-CLAUDE PEREZ;2nd tour;29.01;22.21
11_2;PS;MARIE-HÉLÈNE FABRE;2nd tour;26.65;20.46
11_3;PS;JEAN-PAUL DUPRE;2nd tour;30.03;23.14
12_1;UMP;YVES CENSI;2nd tour;29.28;24.47
12_2;PS;MARIE-LOU MARCEL;2nd tour;32.13;25.65
12_3;PS;BÉATRICE MARRE;2nd tour;28.44;21.97
13_1;PS;CHRISTOPHE MASSE;2nd tour;23.07;17.14
13_2;UMP;DOMINIQUE TIAN;2nd tour;33.46;27.31
13_3;PS;SYLVIE ANDRIEUX;2nd tour;25.26;19.08
13_4;PS;PATRICK MENNUCCI;2nd tour;32.12;24.4
13_5;UMP;RENAUD MUSELIER;2nd tour;27.13;20.65
13_6;UMP;GUY TEISSIER;2nd tour;30.31;22.69
13_7;PS;HENRI JIBRAYEL;2nd tour;30.95;23.26
13_8;UMP;NICOLAS ISNARD;2nd tour;22.84;22.69
13_9;PS;CHRISTIAN MUSUMECI;2nd tour;23.08;16.61
13_10;UMP;RICHARD MALLIE;2nd tour;24.29;22.48
13_11;UMP;CHRISTIAN KERT;2nd tour;30.02;23.56
13_12;PS;VINCENT BURRONI;2nd tour;22.49;16.95
13_13;PS;RENÉ RAIMONDI;2nd tour;28.58;20.0
13_14;UMP;MARYSE JOISSAINS-MASINI;2nd tour;28.73;23.11
13_15;UMP;BERNARD REYNES;2nd tour;24.06;23.97
13_16;PS;MICHEL VAUZELLE;2nd tour;24.57;18.46
14_1;PS;PHILIPPE DURON;2nd tour;29.61;23.36
14_2;PS;LAURENCE DUMONT;2nd tour;31.82;24.96
14_3;UMP;CHRISTINE ANNOOT;2nd tour;28.31;21.76
14_4;UMP;NICOLE AMELINE;2nd tour;30.87;25.27
14_5;UMP;CÉDRIC NOUVELOT;2nd tour;29.09;23.49
14_6;PS;ALAIN TOURRET;2nd tour;28.2;22.35
15_1;PS;ALAIN CALMETTE;2nd tour;28.88;22.94
15_2;UMP;ALAIN MARLEIX;2nd tour;30.15;23.83
16_1;PS;MARTINE PINVILLE;2nd tour;29.99;24.16
16_2;UMP;DANIEL SAUVAITRE;2nd tour;27.17;20.43
16_3;PS;JÉRÔME LAMBERT;2nd tour;30.16;23.81
17_1;PS;SÉGOLÈNE ROYAL;2nd tour;28.15;22.2
17_2;PS;SUZANNE TALLARD;2nd tour;28.19;22.26
17_3;PS;CATHERINE QUERE;2nd tour;26.8;20.49
17_4;UMP;DOMINIQUE BUSSEREAU;2nd tour;29.88;22.49
17_5;UMP;DIDIER QUENTIN;2nd tour;31.08;23.89
18_1;UMP;YVES FROMION;2nd tour;27.29;21.31
18_2;PS;AGNÈS SINSOULIER-BIGOT;2nd tour;28.59;21.09
18_3;UMP;LOUIS COSYNS;2nd tour;27.26;19.88
19_1;PS;SOPHIE DESSUS;2nd tour;36.4;30.34
19_2;PS;PHILIPPE NAUCHE;2nd tour;32.13;26.39
2A_1;UMP;LAURENT MARCANGELI;2nd tour;20.87;21.23
2A_2;UMP;CAMILLE DE ROCCA SERRA;2nd tour;29.54;22.36
2B_1;UMP;SAUVEUR GANDOLFI-SCHEIT;2nd tour;28.5;21.38
2B_2;UMP;STÉPHANIE GRIMALDI;2nd tour;26.67;20.43
21_1;UMP;BERNARD DEPIERRE;2nd tour;29.61;24.16
21_2;UMP;RÉMI DELATTE;2nd tour;28.97;22.14
