circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
1_1;EM;Laurent MALLET;2nd tour;19.73;16.37
1_2;EM;Marie Jeanne BEGUET;2nd tour;19.69;17.54
1_3;EM;Olga GIVERNET;2nd tour;23.01;20.42
1_4;EM;Stéphane TROMPILLE;2nd tour;22.19;17.36
1_5;LR;Damien ABAD;2nd tour;19.92;16.94
2_1;EM;Aude BONO-VANDORME;2nd tour;23.14;13.89
2_2;FN;Sylvie SAILLARD-MEUNIER;2nd tour;11.58;11.29
2_3;PS;Jean-Louis BRICOUT;2nd tour;22.85;11.09
2_4;EM;Marc DELATTE;2nd tour;20.17;12.23
2_5;EM;Jacques KRABAL;2nd tour;22.12;17.28
3_1;EM;Pauline RIVIERE;2nd tour;16.94;14.79
3_2;EM;Laurence VANCEUNEBROCK-MIALON;2nd tour;15.79;12.79
3_3;EM;Bénédicte PEYROL;2nd tour;21.48;17.13
4_1;EM;Delphine BAGARRY;2nd tour;24.54;17.38
4_2;EM;Christophe CASTANER;2nd tour;23.8;22.88
5_1;EM;Pascale BOYER;2nd tour;20.31;16.03
5_2;EM;Joël GIRAUD;2nd tour;29.07;24.09
6_1;LR;Eric CIOTTI;2nd tour;19.36;16.94
6_2;EM;Loîc DOMBREVAL;2nd tour;21.09;16.76
6_3;EM;Cédric ROUSSEL;2nd tour;22.38;14.28
6_4;EM;Alexandra VALETTA ARDISSON;2nd tour;20.08;12.88
6_5;FN;Chantal AGNELY;2nd tour;10.52;10.18
6_6;LR;Laurence TRASTOUR-ISNART;2nd tour;16.67;12.82
6_7;EM;Khaled BEN ABDERRAHMANE;2nd tour;19.01;15.32
6_8;LR;Bernard BROCHAND;2nd tour;16.9;13.31
6_9;LR;Michèle TABAROT;2nd tour;17.07;13.66
7_1;EM;André DUPONT;2nd tour;19.83;11.81
7_2;EM;Laurette GOUYET-POMMARET;2nd tour;20.92;13.67
7_3;EM;Matthieu PEYRAUD;2nd tour;21.55;13.72
8_1;LR;Bérengère POLETTI;2nd tour;21.77;17.8
8_2;EM;Mario IGLESIAS;2nd tour;14.8;9.81
8_3;LR;Jean-Luc WARSMANN;2nd tour;32.19;22.62
9_1;EM;Jérôme AZEMA;2nd tour;20.94;16.7
9_2;LFI;Michel LARIVE;2nd tour;18.07;9.85
10_1;EM;Grégory BESSON-MOREAU;2nd tour;15.36;15.12
10_2;LR;Valérie BAZIN-MALGRAS;2nd tour;16.47;12.12
10_3;EM;Pascal LANDRÉAT;2nd tour;20.51;15.51
11_1;EM;Danièle HÉRIN;2nd tour;22.78;14.18
11_2;EM;Alain PEREA;2nd tour;23.03;13.2
11_3;EM;Mireille ROBERT;2nd tour;23.49;16.03
12_1;EM;Stéphane MAZARS;2nd tour;29.94;26.08
12_2;EM;Anne BLANC;2nd tour;28.14;22.26
12_3;EM;Jean-Louis AUSTRUY;2nd tour;18.92;18.28
13_1;LR;Valérie BOYER;2nd tour;14.31;10.82
13_2;EM;Claire PITOLLAT;2nd tour;20.76;18.25
13_3;EM;Alexandra LOUIS;2nd tour;17.52;9.91
13_4;LFI;Jean-Luc MÉLENCHON;2nd tour;17.9;14.18
13_5;EM;Cathy RACON-BOUZON;2nd tour;14.67;13.93
13_6;EM;Eléonore LEPRETTRE;2nd tour;18.57;14.77
13_7;EM;Saïd AHAMADA;2nd tour;14.74;6.31
13_8;EM;Jean-Marc ZULESI;2nd tour;20.52;15.85
13_9;EM;Sylvie BRUNET;2nd tour;15.08;14.09
13_10;EM;François-Michel LAMBERT;2nd tour;22.56;15.21
