numero_departement;code_departement;departement;numero_circonscription;link2;numero_depot;sexe;nom;link1;prenom;date_naissance;date_naissance_parsed;age_candidat;nuance_politique;etiquette_nuance_politique;profession;csp;personnalité;personnalité_bool;candidat_sortant;suppleant_sexe;suppleant_nom;suppleant_prenom;suppleant_date_naissance;suppleant_nuance_politique;suppleant_personnalité;suppleant_candidat_sortant;nom_2007;parti_predecesseur2007;partipredec2007_bool;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;nuance;voix;%voix/inscrit;%voix/exprimes;acces;predvoix;ratioPred_Reel;pred_voix_ins;pred_voix_exp
1;1;AIN;1;Nadia ALLOUACHE_1_1;36;F;ALLOUACHE;Nadia ALLOUACHE;Nadia;15/09/1976;1976-09-15T00:00:00.000Z;35;VEC;Europe-Ecologie-Les Verts;Ingénieur;3;;Non;Non;M;ROUX;Jean-Luc;08/11/1973;VEC;Europe-Ecologie-Les Verts;Non;;Non;Oui;6.55;39.2326283790516;7;ECO;1161;1.4683934940429515;2.467430344505132;;1871;0.611541774332472;2.37;3.89
1;1;AIN;1;Grégory BAUDOUIN_1_1;12;M;BAUDOUIN;Grégory BAUDOUIN;Grégory;06/07/1969;1969-07-06T00:00:00.000Z;42;DVD;Divers droite;Employé (secteur privé);5;;Non;Non;M;MOREAUX;Jonathan;20/12/1993;DVD;Divers droite;Non;;Non;Oui;6.55;39.2326283790516;7;DVD;296;0.3743707788429919;0.6290778483837375;;18788;62.472972972972975;23.78;39.05
1;1;AIN;1;Clément PERRIN_1_1;20;M;PERRIN;Clément PERRIN;Clément;27/04/1989;1989-04-27T00:00:00.000Z;23;FN;Front National;Etudiant;8;;Non;Non;M;CHEVREL;Anthony;24/05/1989;FN;Front National;Non;;Non;Oui;6.55;39.2326283790516;7;FRN;7290;9.220145195153416;15.493167279450832;;9182;0.2595336076817558;11.62;19.09
1;1;AIN;1;Sébastien BOILEAU_1_1;35;M;BOILEAU;Sébastien BOILEAU;Sébastien;15/09/1976;1976-09-15T00:00:00.000Z;35;FG;Front de gauche;Professeur du secondaire et techn.;4;;Non;Non;F;FAVIER;Noëlle;16/03/1942;FG;Front de gauche;Non;;Non;Oui;6.55;39.2326283790516;7;FDG;1520;1.9224445400045531;3.2303997619705442;;2921;0.9217105263157894;3.7;6.07
1;1;AIN;1;Jean-François DEBAT_1_1;33;M;DEBAT;Jean-François DEBAT;Jean-François;24/01/1966;1966-01-24T00:00:00.000Z;46;SOC;Socialiste;Autre profession;4;MAI;Oui;Non;F;CONTAT BLATRIX;Florence;30/03/1966;SOC;Socialiste;Non;DEBAT;DEBAT;Oui;6.55;39.2326283790516;7;SOC;18312;23.160397642475907;38.91781607973987;;15081;-0.17644167758846657;19.09;31.35
1;1;AIN;1;Carole GUENARD GERBAUD_1_1;22;F;GUENARD GERBAUD;Carole GUENARD GERBAUD;Carole;13/09/1958;1958-09-13T00:00:00.000Z;53;EXG;Extrême gauche;Autre cadre (secteur privé);3;;Non;Non;M;GARRAUD;Rémi;02/09/1953;EXG;Extrême gauche;Non;;Non;Oui;6.55;39.2326283790516;7;EXG;171;0.21627501075051223;0.3634199732216862;;265;0.5497076023391813;0.34;0.55
1;1;AIN;2;Michel RAYMOND_1_2;45;M;RAYMOND;Michel RAYMOND;Michel;02/02/1952;1952-02-02T00:00:00.000Z;60;DVG;Divers gauche;Grands corps de l'état;3;;Non;Non;F;LALANCE;Fabienne;02/05/1956;DVG;Divers gauche;Non;;Non;Oui;6.55;39.2326283790516;7;DVG;11900;13.680991469499437;23.07274701411509;;15113;0.27;17.41;28.0
1;1;AIN;2;Paul VERNAY_1_2;26;M;VERNAY;Paul VERNAY;Paul;06/10/1955;1955-10-06T00:00:00.000Z;56;VEC;Europe-Ecologie-Les Verts;Artisan;2;;Non;Non;M;CHABROLLE;Alain;06/09/1952;VEC;Europe-Ecologie-Les Verts;Non;;Non;Oui;6.55;39.2326283790516;7;ECO;5213;5.993193994159711;10.107414301225376;;1999;-0.6165355841166315;2.3;3.7
1;1;AIN;2;Charles DE LA VERPILLIERE_1_2;14;M;DE LA VERPILLIERE;Charles DE LA VERPILLIERE;Charles;31/05/1954;1954-05-31T00:00:00.000Z;58;UMP;Union pour un Mouvement Populaire;Autre profession;4;DEP;Oui;Oui;F;CORMORECHE;Brigitte;27/01/1955;UMP;Union pour un Mouvement Populaire;Non;;Non;Oui;6.55;39.2326283790516;7;UMP;19217;22.093076728518543;37.25957809834031;;21565;0.12218348337409585;24.84;39.95
1;1;AIN;2;Katia PHILIPPE_1_2;46;F;PHILIPPE;Katia PHILIPPE;Katia;08/08/1971;1971-08-08T00:00:00.000Z;40;FG;Front de gauche;Fonctionnaire de catégorie B;4;;Non;Non;M;BRULLAND;Guy;18/05/1955;FG;Front de gauche;Non;;Non;Oui;6.55;39.2326283790516;7;FDG;2215;2.546503874364811;4.294633162711339;;3223;0.455079006772009;3.71;5.97
1;1;AIN;2;Vincent GOUTAGNY_1_2;3;M;GOUTAGNY;Vincent GOUTAGNY;Vincent;17/05/1965;1965-05-17T00:00:00.000Z;47;EXG;Extrême gauche;Ouvrier (secteur privé);6;;Non;Non;F;GIRY;Annick;26/06/1957;EXG;Extrême gauche;Non;;Non;Oui;6.55;39.2326283790516;7;EXG;224;0.2575245453082247;0.43431053203040176;;299;0.33482142857142855;0.34;0.55
1;1;AIN;2;Olivier EYRAUD_1_2;37;M;EYRAUD;Olivier EYRAUD;Olivier;08/03/1955;1955-03-08T00:00:00.000Z;57;FN;Front National;Industriel-Chef entreprise;2;;Non;Non;M;ROBIN;Thierry;28/07/1960;FN;Front National;Non;;Non;Oui;6.55;39.2326283790516;7;FRN;10894;12.52443034190982;21.1222273925857;;10626;-0.024600697631723886;12.24;19.69
1;1;AIN;3;Sylvie VERMEULEN_1_3;2;F;VERMEULEN;Sylvie VERMEULEN;Sylvie;18/06/1952;1952-06-18T00:00:00.000Z;59;ECO;Ecologiste;Sans profession déclarée;7;;Non;Non;F;FAVRE;Maryse;17/05/1965;ECO;Ecologiste;Non;;Non;Oui;6.55;39.2326283790516;7;ECO;379;0.5426922691409998;1.018187679660425;;1594;3.2058047493403694;2.28;3.95
1;1;AIN;3;Jean-Marc FOGNINI_1_3;16;M;FOGNINI;Jean-Marc FOGNINI;Jean-Marc;29/03/1958;1958-03-29T00:00:00.000Z;54;SOC;Socialiste;Autre cadre (secteur privé);3;;Non;Non;F;SACCHI-HASSANEIN;Géraldine;28/09/1978;SOC;Socialiste;Non;RIGAUD;RIGAUD;Oui;6.55;39.2326283790516;7;SOC;12164;17.41770121855177;32.6787201461462;;12689;0.043160144689246956;18.17;31.41
1;1;AIN;3;Yves THOUMINE_1_3;49;M;THOUMINE;Yves THOUMINE;Yves;13/06/1965;1965-06-13T00:00:00.000Z;46;FG;Front de gauche;Professeur du secondaire et techn.;4;;Non;Non;F;REVOL;Ghislaine;29/06/1958;FG;Front de gauche;Non;;Non;Oui;6.55;39.2326283790516;7;FDG;1622;2.32255108323668;4.357520887623243;;2599;0.6023427866831073;3.72;6.43
1;1;AIN;3;Etienne BLANC_1_3;38;M;BLANC;Etienne BLANC;Etienne;29/08/1954;1954-08-29T00:00:00.000Z;57;UMP;Union pour un Mouvement Populaire;Avocat;3;DEP;Oui;Oui;F;PERNOD-BEAUDON;Stéphanie;13/10/1978;UMP;Union pour un Mouvement Populaire;Non;BLANC;BLANC;Oui;6.55;39.2326283790516;7;UMP;15465;22.14442201125478;41.54689304999597;;16814;0.08722922728742322;24.08;41.62
1;1;AIN;3;Gaëtan NOBLET_1_3;15;M;NOBLET;Gaëtan NOBLET;Gaëtan;05/08/1985;1985-08-05T00:00:00.000Z;26;FN;Front National;Employé (autres entrep. publiques);5;;Non;Non;M;PLANQUE-BONINI;Eric;05/01/1972;FN;Front National;Non;;Non;Oui;6.55;39.2326283790516;7;FRN;5041;7.218236751292295;13.54270209279209;;6482;0.2858559809561595;9.28;16.05
1;1;AIN;3;Eric LAHY_1_3;29;M;LAHY;Eric LAHY;Eric;24/02/1966;1966-02-24T00:00:00.000Z;46;EXG;Extrême gauche;Professeur du secondaire et techn.;4;;Non;Non;M;BLANC;Philippe;05/06/1961;EXG;Extrême gauche;Non;;Non;Oui;6.55;39.2326283790516;7;EXG;160;0.22910491573234817;0.42984176450044326;;218;0.3625;0.31;0.54
1;1;AIN;4;Guillaume LACROIX_1_4;8;M;LACROIX;Guillaume LACROIX;Guillaume;11/02/1976;1976-02-11T00:00:00.000Z;36;RDG;Radical de Gauche;Fonctionnaire de catégorie A;3;;Non;Non;F;GONNU;Christine;14/08/1958;RDG;Radical de Gauche;Non;;Non;Oui;6.55;39.2326283790516;7;PRG;15419;18.227707439325698;31.320333130205157;;14817;-0.03904273947726831;17.54;28.5
1;1;AIN;4;Michel VOISIN_1_4;9;M;VOISIN;Michel VOISIN;Michel;06/10/1944;1944-10-06T00:00:00.000Z;67;UMP;Union pour un Mouvement Populaire;Expert comptable;3;DEP;Oui;Oui;M;CHANEL;Christian;18/11/1949;UMP;Union pour un Mouvement Populaire;Non;;Non;Oui;6.55;39.2326283790516;7;UMP;20050;23.702285113073497;40.727198862482226;;21876;0.09107231920199502;25.89;42.08
1;1;AIN;4;Daniel BLATRIX_1_4;50;M;BLATRIX;Daniel BLATRIX;Daniel;17/05/1957;1957-05-17T00:00:00.000Z;55;FG;Front de gauche;Fonctionnaire de catégorie C;5;;Non;Non;F;GROSLON;Catherine;01/03/1960;FG;Front de gauche;Non;;Non;Oui;6.55;39.2326283790516;7;FDG;1560;1.8441678192715538;3.1687995124923827;;2811;0.801923076923077;3.33;5.41
1;1;AIN;4;Corinne MOSSIRE_1_4;19;F;MOSSIRE;Corinne MOSSIRE;Corinne;09/08/1966;1966-08-09T00:00:00.000Z;45;FN;Front National;Autre profession libérale;3;;Non;Non;M;PRIEUR;Yves;19/04/1954;FN;Front National;Non;;Non;Oui;6.55;39.2326283790516;7;FRN;9390;11.100471681384544;19.07373552711761;;10367;0.1040468583599574;12.27;19.94
1;1;AIN;4;Electre DRACOS_1_4;31;F;DRACOS;Electre DRACOS;Electre;22/03/1951;1951-03-22T00:00:00.000Z;61;EXG;Extrême gauche;Professeur du secondaire et techn.;4;;Non;Non;M;QUILICHINI;Didier;18/08/1964;EXG;Extrême gauche;Non;;Non;Oui;6.55;39.2326283790516;7;EXG;163;0.19269189393670721;0.3310989234206784;;276;0.6932515337423313;0.33;0.53
1;1;AIN;4;Nicolas ZIELINSKI_1_4;42;M;ZIELINSKI;Nicolas ZIELINSKI;Nicolas;25/05/1973;1973-05-25T00:00:00.000Z;39;VEC;Europe-Ecologie-Les Verts;Professeur du secondaire et techn.;4;;Non;Non;M;LEIBMAN;Michael;03/12/1951;VEC;Europe-Ecologie-Les Verts;Non;;Non;Oui;6.55;39.2326283790516;7;ECO;1521;1.7980636237897647;3.0895795246800732;;1837;0.20775805391190005;2.17;3.53
1;1;AIN;5;Michel PERRAUD_1_5;47;M;PERRAUD;Michel PERRAUD;Michel;15/04/1953;1953-04-15T00:00:00.000Z;59;PRV;Parti radical;Cadre (entreprises publiques);3;MAI;Oui;Non;F;GALVEZ;Annie;23/02/1958;PRV;Parti radical;Non;;Non;Oui;6.55;39.2326283790516;7;PRV;3946;5.352831058900133;9.487173322434064;;16478;3.1758743030917387;22.37;37.6
1;1;AIN;5;Christophe CERESERO-LANES_1_5;34;M;CERESERO-LANES;Christophe CERESERO-LANES;Christophe;22/01/1986;1986-01-22T00:00:00.000Z;26;EXG;Extrême gauche;Etudiant;8;;Non;Non;M;MARMONT;Didier;19/12/1956;EXG;Extrême gauche;Non;;Non;Oui;6.55;39.2326283790516;7;EXG;184;0.24959982636533817;0.4423821316086841;;263;0.42934782608695654;0.36;0.6
1;1;AIN;5;Josiane EXPOSITO_1_5;41;F;EXPOSITO;Josiane EXPOSITO;Josiane;03/03/1943;1943-03-03T00:00:00.000Z;69;SOC;Socialiste;Retraité des entreprises publiques;7;;Non;Non;M;BERTERA;Fabrice;14/02/1969;SOC;Socialiste;Non;;Non;Oui;6.55;39.2326283790516;7;SOC;11857;16.084267071814214;28.50720073089222;;13439;0.1334232942565573;18.25;30.66
1;1;AIN;5;Jean GALIENNE_1_5;51;M;GALIENNE;Jean GALIENNE;Jean;29/11/1952;1952-11-29T00:00:00.000Z;59;ECO;Ecologiste;Ingénieur conseil;3;;Non;Non;F;NAVARRO;Denise;05/10/1950;ECO;Ecologiste;Non;;Non;Oui;6.55;39.2326283790516;7;ECO;446;0.6050082747768524;1.0722958190080063;;1720;2.8565022421524664;2.34;3.92
1;1;AIN;5;Mylène FERRI_1_5;25;F;FERRI;Mylène FERRI;Mylène;13/05/1961;1961-05-13T00:00:00.000Z;51;FG;Front de gauche;Retraité de l'enseignement;7;;Non;Non;M;JACQUIER;Bertrand;09/04/1975;FG;Front de gauche;Non;;Non;Oui;6.55;39.2326283790516;7;FDG;3046;4.131962342982718;7.323347678695935;;3080;0.011162179908076166;4.18;7.03
1;1;AIN;5;Patrick SOKOLOWSKI_1_5;4;M;SOKOLOWSKI;Patrick SOKOLOWSKI;Patrick;04/01/1956;1956-01-04T00:00:00.000Z;56;FN;Front National;Retraité salarié privé;7;;Non;Non;M;COHIN;Jean-Louis;24/05/1948;FN;Front National;Non;;Non;Oui;6.55;39.2326283790516;7;FRN;7482;10.149488591660111;17.988603851609646;;8850;0.18283881315156375;12.02;20.19
2;2;AISNE;1;Jean-Loup PERNELLE_2_1;18;M;PERNELLE;Jean-Loup PERNELLE;Jean-Loup;05/03/1953;1953-03-05T00:00:00.000Z;59;EXG;Extrême gauche;Retraité des entreprises publiques;7;;Non;Non;F;LEBLOND;Christelle;20/11/1968;EXG;Extrême gauche;Non;;Non;Oui;13.2;40.2400552424901;4;EXG;285;0.39245386945744976;0.6681671121114081;;247;-0.13333333333333333;0.34;0.57
2;2;AISNE;1;Claudine BRUNET_2_1;34;F;BRUNET;Claudine BRUNET;Claudine;14/04/1948;1948-04-14T00:00:00.000Z;64;FG;Front de gauche;Retraité fonct.publique (sf enseig.);7;;Non;Non;M;LOIZON;Willy;29/11/1968;FG;Front de gauche;Non;;Non;Oui;13.2;40.2400552424901;4;FDG;1629;2.2431836959515286;3.819102546068364;;2853;0.7513812154696132;3.93;6.58
2;2;AISNE;1;Damien PEIFFER_2_1;22;M;PEIFFER;Damien PEIFFER;Damien;01/08/1988;1988-08-01T00:00:00.000Z;23;DVD;Divers droite;Employé (secteur privé);5;;Non;Non;M;RENARD;Guillaume;06/02/1990;DVD;Divers droite;Non;;Non;Oui;13.2;40.2400552424901;4;DVD;222;0.3057009088405398;0.5204670136446757;;14235;63.12162162162162;19.61;32.82
