code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;prediction;modele2voix;modele2rounded;voix_reel_t1_2017;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg
1;1;Ain;1;Laurent MALLET_1_1;1ère circonscription;M;MALLET;Laurent;44;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;12460;15.08;25.61;0.0206727129648;13098.57911098167;13099;13534;0.5949720670391061;0.5949720670391061;améliore;oui;;;41745;0.04403929812510447
1;1;Ain;1;Florence BLATRIX-CONTAT_1_1;1ère circonscription;F;BLATRIX-CONTAT;Florence;51;PS;4;Non;Non;Oui;7.35;39.7816052467;7;3599;4.35;7.4;0.00367077522726;3629.810168549357;3630;3687;0.3522727272727273;0.3522727272727273;améliore;non;;;16996;0.026630941145379703
1;1;Ain;1;Fabrine MARTIN ZEMLIK_1_1;1ère circonscription;F;MARTIN ZEMLIK;Fabrine;43;FG-FI;4;Non;Non;Non;7.35;39.7816052467;7;6618;8.01;13.6;-0.122470449431;4991.790077036991;4992;3874;0.5925655976676385;0.5925655976676385;améliore;non;;;71423;0.05766519737472396
1;1;Ain;1;Xavier BRETON_1_1;1ère circonscription;M;BRETON;Xavier;54;LR-UMP;4;Oui;Oui;Oui;7.35;39.7816052467;7;12244;14.81;25.17;0.00395315261548;12356.992634117481;12357;10693;-0.07285622179239201;-0.07285622179239201;degrade_un_peu;oui;46;0.009239130434782607;15078;0.031068416453563705
1;1;Ain;1;Laurane RAIMONDO_1_1;1ère circonscription;F;RAIMONDO;Laurane;28;EELV;8;Non;Non;Non;7.35;39.7816052467;7;1119;1.35;2.3;-0.104211871427;880.2746901404427;880;562;0.42908438061041293;0.42908438061041293;améliore;non;;;3816;0.06758879826170551
1;1;Ain;1;Jacques FONTAINE_1_1;1ère circonscription;M;FONTAINE;Jacques;68;EXG;7;Non;Non;Non;7.35;39.7816052467;7;827;1.0;1.7;-0.0727138167428;699.5064007561074;700;656;0.7426900584795322;0.7426900584795322;améliore;non;;;3482;0.04389628880073698
1;1;Ain;1;Jérôme BUISSON_1_1;1ère circonscription;M;BUISSON;Jérôme;44;FN;4;Non;Non;Non;7.35;39.7816052467;7;11787;14.26;24.23;-0.110106620892;9147.378772894896;9147;6174;0.47033671833244256;0.47033671833244256;améliore;non;;;60621;0.04089326099298779
1;1;Ain;2;Anne MICHAUD_1_2;2ème circonscription;F;MICHAUD;Anne;66;FN;8;Non;Non;Oui;7.35;39.7816052467;7;13776;14.76;24.69;-0.124690576239;10337.905498983058;10338;7553;0.55246665595372;0.55246665595372;améliore;non;;;60621;0.04089326099298779
1;1;Ain;2;Albane COLIN_1_2;2ème circonscription;F;COLIN;Albane;37;EELV;3;Non;Non;Non;7.35;39.7816052467;7;2018;2.16;3.62;-0.0171120742534;1940.0328673123972;1940;2874;-0.0911214953271028;-0.0911214953271028;degrade_un_peu;non;;;3816;0.06758879826170551
1;1;Ain;2;Pascale LEMERRE_1_2;2ème circonscription;F;LEMERRE;Pascale;45;LR-UMP;4;Non;Non;Non;7.35;39.7816052467;7;2054;2.2;3.68;-0.106197812074;1608.4317122913526;1608;1149;0.49281767955801103;0.49281767955801103;améliore;non;;;15078;0.031068416453563705
1;1;Ain;2;Guy BRULLAND_1_2;2ème circonscription;M;BRULLAND;Guy;62;EXG;7;Non;Non;Non;7.35;39.7816052467;7;1324;1.42;2.37;-0.0652823390102;1139.2148725792952;1139;676;0.2854938271604938;0.2854938271604938;améliore;non;;;3482;0.04389628880073698
1;1;Ain;2;Marie Jeanne BEGUET_1_2;2ème circonscription;F;BEGUET;Marie Jeanne;68;EM-MODEM;7;Non;Non;Non;7.35;39.7816052467;7;16185;17.34;29.01;-0.0208733186327;15425.50479542279;15426;16371;-4.080645161290323;-1.042;degrade;oui;;;41745;0.04403929812510447
1;1;Ain;2;Charles DE LA VERPILLIÈRE_1_2;2ème circonscription;M;DE LA VERPILLIÈRE;Charles;63;LR-UMP;3;Oui;Oui;Oui;7.35;39.7816052467;7;11517;12.34;20.64;-0.0241736688922;10893.456360381799;10893;11182;1.862686567164179;1.715;ameliore/surestime;oui;;;15078;0.031068416453563705
1;1;Ain;2;Sylviane THIEBAUT_1_2;2ème circonscription;F;THIEBAUT;Sylviane;55;FG-FI;5;Non;Non;Non;7.35;39.7816052467;7;8919;9.56;15.99;-0.198294238385;5649.654966130721;5650;4896;0.8125776783494905;0.8125776783494905;améliore;non;;;71423;0.05766519737472396
1;1;Ain;3;Jean MERCIER_1_3;3ème circonscription;M;MERCIER;Jean;30;EELV;3;Non;Non;Non;7.35;39.7816052467;7;1051;1.39;2.44;-0.0877002542329;858.8206173078095;859;1496;-0.4314606741573034;-0.4314606741573034;degrade;non;;;3816;0.06758879826170551
1;1;Ain;3;Jean Sébastien BLOCH_1_3;3ème circonscription;M;BLOCH;Jean Sébastien;53;EXG;4;Non;Non;Non;7.35;39.7816052467;7;776;1.03;1.8;-0.0481292409376;694.5963235983481;695;431;0.23478260869565218;0.23478260869565218;améliore;non;;;3482;0.04389628880073698
1;1;Ain;3;Olga GIVERNET_1_3;3ème circonscription;F;GIVERNET;Olga;35;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;12409;16.45;28.76;3.20239435496E-4;12418.160261887331;12418;15405;0.0030040053404539386;0.0030040053404539386;améliore;oui;;;41745;0.04403929812510447
1;1;Ain;3;Géraldine SACCHI-HASSANEIN_1_3;3ème circonscription;F;SACCHI-HASSANEIN;Géraldine;38;PS;4;Non;Non;Oui;7.35;39.7816052467;7;3380;4.48;7.83;0.0160072885979;3511.8555249256065;3512;1468;-0.06903765690376569;-0.06903765690376569;degrade_un_peu;non;;;16996;0.026630941145379703
1;1;Ain;3;Gaëtan NOBLET_1_3;3ème circonscription;M;NOBLET;Gaëtan;31;FN;5;Non;Non;Non;7.35;39.7816052467;7;7824;10.37;18.14;-0.140832850546;5657.127816270015;5657;3808;0.5395916334661355;0.5395916334661355;améliore;non;;;60621;0.04089326099298779
1;1;Ain;3;Stéphanie PERNOD BEAUDON_1_3;3ème circonscription;F;PERNOD BEAUDON;Stéphanie;38;LR-UMP;4;Oui;Oui;Oui;7.35;39.7816052467;7;11594;15.37;26.88;-0.0162725251533;11167.62367884939;11168;7281;0.09877115696730814;0.09877115696730814;améliore;oui;;;15078;0.031068416453563705
1;1;Ain;3;Christian JOLIE_1_3;3ème circonscription;M;JOLIE;Christian;44;FG-FI;3;Non;Non;Non;7.35;39.7816052467;7;6106;8.1;14.15;-0.134223095889;4482.638368331127;4483;3064;0.5335305719921104;0.5335305719921104;améliore;non;;;71423;0.05766519737472396
1;1;Ain;4;Anne PARTENSKY-LEIBMAN_1_4;4ème circonscription;F;PARTENSKY-LEIBMAN;Anne;64;EELV;7;Non;Non;Non;7.35;39.7816052467;7;1801;2.02;3.31;-0.0520013562439;1597.7629880712889;1598;1391;0.4951219512195122;0.4951219512195122;améliore;non;;;3816;0.06758879826170551
1;1;Ain;4;Guy BILLOUDET_1_4;4ème circonscription;M;BILLOUDET;Guy;58;LR-UMP;5;Non;Non;Oui;7.35;39.7816052467;7;11564;12.96;21.25;-0.107582629815;9026.626092803057;9027;7178;0.5784313725490197;0.5784313725490197;améliore;non;;;15078;0.031068416453563705
1;1;Ain;4;Stéphane TROMPILLE_1_4;4ème circonscription;M;TROMPILLE;Stéphane;34;EM-MODEM;5;Non;Non;Non;7.35;39.7816052467;7;14823;16.61;27.24;-0.0210434383496;14121.88499073706;14122;15492;-1.047832585949178;-1.042;degrade;oui;;;41745;0.04403929812510447
1;1;Ain;4;Annick VEILLEROT_1_4;4ème circonscription;F;VEILLEROT;Annick;59;LR-UMP;2;Non;Non;Non;7.35;39.7816052467;7;2171;2.43;3.99;-0.107281931697;1695.8127326827541;1696;860;0.36231884057971014;0.36231884057971014;améliore;non;;;15078;0.031068416453563705
1;1;Ain;4;Line HUGUET_1_4;4ème circonscription;F;HUGUET;Line;24;FG-FI;8;Non;Non;Non;7.35;39.7816052467;7;7624;8.54;14.01;-0.236494262578;4422.711646938928;4423;3426;0.7625059552167699;0.7625059552167699;améliore;non;;;71423;0.05766519737472396
1;1;Ain;4;Blanche CHAUSSAT_1_4;4ème circonscription;F;CHAUSSAT;Blanche;32;FN;5;Non;Non;Non;7.35;39.7816052467;7;13875;15.54;25.5;-0.0968330445029;11101.967388843499;11102;7964;0.4691253594992387;0.4691253594992387;améliore;oui;;;60621;0.04089326099298779
1;1;Ain;4;Muriel LUGA GIRAUD_1_4;4ème circonscription;F;LUGA GIRAUD;Muriel;56;LR-UMP;8;Non;Non;Non;7.35;39.7816052467;7;1416;1.59;2.6;-0.103450031591;1115.869023549007;1116;3164;-0.17162471395881007;-0.17162471395881007;degrade_un_peu;non;;;15078;0.031068416453563705
1;1;Ain;4;Catherine LATTARD_1_4;4ème circonscription;F;LATTARD;Catherine;45;EXG;4;Non;Non;Non;7.35;39.7816052467;7;1133;1.27;2.08;-0.0361539102956;1042.4998461843043;1042;348;0.1159235668789809;0.1159235668789809;améliore;non;;;3482;0.04389628880073698
1;1;Ain;5;Elodie SCHWANDER_1_5;5ème circonscription;F;SCHWANDER;Elodie;34;PS;4;Non;Non;Oui;7.35;39.7816052467;7;3004;3.99;6.94;0.00981853732888;3074.295348766558;3074;1032;-0.035496957403651115;-0.035496957403651115;degrade_un_peu;non;;;16996;0.026630941145379703
1;1;Ain;5;Claude JUILLET_1_5;5ème circonscription;M;JUILLET;Claude;64;LR-UMP;7;Non;Non;Non;7.35;39.7816052467;7;1560;2.07;3.61;-0.109530684927;1212.2548028467716;1212;637;0.37703141928494044;0.37703141928494044;améliore;non;;;15078;0.031068416453563705
1;1;Ain;5;Pénélope CHALON_1_5;5ème circonscription;F;CHALON;Pénélope;31;FN;5;Non;Non;Non;7.35;39.7816052467;7;10990;14.61;25.4;-0.0969115379378;8791.969128876082;8792;5599;0.40771656464477835;0.40771656464477835;améliore;non;;;60621;0.04089326099298779
1;1;Ain;5;Bertrand JACQUIER_1_5;5ème circonscription;M;JACQUIER;Bertrand;42;FG-FI;3;Non;Non;Non;7.35;39.7816052467;7;6601;8.78;15.26;-0.132206970749;4868.585059442914;4869;3759;0.609429978888107;0.609429978888107;améliore;non;;;71423;0.05766519737472396
1;1;Ain;5;Damien ABAD_1_5;5ème circonscription;M;ABAD;Damien;37;LR-UMP;8;Oui;Oui;Oui;7.35;39.7816052467;7;9216;12.25;21.3;-0.0132123204398;8939.84822404372;8940;12743;-0.07825347320669124;-0.07825347320669124;degrade_un_peu;oui;;;15078;0.031068416453563705
1;1;Ain;5;Mylène FERRI_1_5;5ème circonscription;F;FERRI;Mylène;56;EXG;7;Non;Non;Non;7.35;39.7816052467;7;810;1.08;1.87;-0.0608858306888;704.043005427944;704;809;106.0;1.715;surestime;non;;;3482;0.04389628880073698
1;1;Ain;5;Carole PONTIER_1_5;5ème circonscription;F;PONTIER;Carole;33;EELV;5;Non;Non;Non;7.35;39.7816052467;7;923;1.23;2.13;-0.0350501344194;851.4351329687465;851;1051;-0.5625;-0.5625;degrade;non;;;3816;0.06758879826170551
1;1;Ain;5;Hélène DE MEIRE_1_5;5ème circonscription;F;DE MEIRE;Hélène;40;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;10156;13.5;23.48;0.00224899674355;10209.004518658803;10209;9149;-0.05263157894736842;-0.05263157894736842;degrade_un_peu;oui;;;41745;0.04403929812510447
2;2;Aisne;1;Christophe COULON_2_1;1ère circonscription;M;COULON;Christophe;44;LR-UMP;3;Non;Non;Non;13.75;41.072730146;4;7088;9.8;16.62;-0.0765972718197;5941.915030045029;5942;5653;0.7986062717770035;0.7986062717770035;améliore;non;;;15078;0.031068416453563705
2;2;Aisne;1;Brigitte FOURNIÉ TURQUIN_2_1;1ère circonscription;F;FOURNIÉ TURQUIN;Brigitte;58;EELV;7;Non;Non;Non;13.75;41.072730146;4;1563;2.16;3.66;-0.263261208912;852.5066376415151;853;1306;2.762645914396887;1.715;surestime;non;;;3816;0.06758879826170551
2;2;Aisne;1;Aude BONO-VANDORME_2_1;1ère circonscription;F;BONO-VANDORME;Aude;54;EM-MODEM;4;Non;Non;Oui;13.75;41.072730146;4;8980;12.42;21.06;-0.0224079795447;8528.4156241425;8528;10043;-0.42521166509877706;-0.42521166509877706;degrade;oui;;;41745;0.04403929812510447
2;2;Aisne;1;Damien PHILIPPOT_2_1;1ère circonscription;M;PHILIPPOT;Damien;39;FN;3;Non;Non;Non;13.75;41.072730146;4;14009;19.38;32.85;-0.0514998076239;12442.490781809956;12442;9114;0.3201225740551583;0.3201225740551583;améliore;oui;;;60621;0.04089326099298779
2;2;Aisne;1;Jacques FERRAND_2_1;1ère circonscription;M;FERRAND;Jacques;21;LR-UMP;8;Non;Non;Non;13.75;41.072730146;4;1461;2.02;3.43;-0.161387745002;1007.5404036721849;1008;491;0.4670103092783505;0.4670103092783505;améliore;non;;;15078;0.031068416453563705
2;2;Aisne;1;Fawaz KARIMET_2_1;1ère circonscription;M;KARIMET;Fawaz;59;PS;3;Non;Non;Oui;13.75;41.072730146;4;2718;3.76;6.37;-0.0163701726209;2617.4553367215635;2617;4856;-0.04724041159962582;-0.04724041159962582;degrade_un_peu;non;;;16996;0.026630941145379703
2;2;Aisne;1;Jean-Marc CHAMBLAY_2_1;1ère circonscription;M;CHAMBLAY;Jean-Marc;47;FG-FI;4;Non;Non;Non;13.75;41.072730146;4;6830;9.45;16.01;-0.0470706975959;6128.440953305194;6128;2479;0.16134222017926914;0.16134222017926914;améliore;non;;;71423;0.05766519737472396
