link2;nom;departement;circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixModele1;%_voix/ins;%_voix/exp;prediction;modele2Voix;modele2rounded
Laurent MALLET_1_1;Laurent MALLET;1;1;M;MALLET;Laurent;44;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;12460;15.08;25.61;0.0206727129648;13098.57911098167;13099
Florence BLATRIX-CONTAT_1_1;Florence BLATRIX-CONTAT;1;1;F;BLATRIX-CONTAT;Florence;51;PS;4;Non;Non;Oui;7.35;39.7816052467;7;3599;4.35;7.4;0.00367077522726;3629.810168549357;3630
Fabrine MARTIN ZEMLIK_1_1;Fabrine MARTIN ZEMLIK;1;1;F;MARTIN ZEMLIK;Fabrine;43;FG-FI;4;Non;Non;Non;7.35;39.7816052467;7;6618;8.01;13.6;-0.122470449431;4991.790077036991;4992
Xavier BRETON_1_1;Xavier BRETON;1;1;M;BRETON;Xavier;54;LR-UMP;4;Oui;Oui;Oui;7.35;39.7816052467;7;12244;14.81;25.17;0.00395315261548;12356.992634117481;12357
Laurane RAIMONDO_1_1;Laurane RAIMONDO;1;1;F;RAIMONDO;Laurane;28;EELV;8;Non;Non;Non;7.35;39.7816052467;7;1119;1.35;2.3;-0.104211871427;880.2746901404427;880
Jacques FONTAINE_1_1;Jacques FONTAINE;1;1;M;FONTAINE;Jacques;68;EXG;7;Non;Non;Non;7.35;39.7816052467;7;827;1.0;1.7;-0.0727138167428;699.5064007561074;700
Jérôme BUISSON_1_1;Jérôme BUISSON;1;1;M;BUISSON;Jérôme;44;FN;4;Non;Non;Non;7.35;39.7816052467;7;11787;14.26;24.23;-0.110106620892;9147.378772894896;9147
Anne MICHAUD_1_2;Anne MICHAUD;1;2;F;MICHAUD;Anne;66;FN;8;Non;Non;Oui;7.35;39.7816052467;7;13776;14.76;24.69;-0.124690576239;10337.905498983058;10338
Albane COLIN_1_2;Albane COLIN;1;2;F;COLIN;Albane;37;EELV;3;Non;Non;Non;7.35;39.7816052467;7;2018;2.16;3.62;-0.0171120742534;1940.0328673123972;1940
Pascale LEMERRE_1_2;Pascale LEMERRE;1;2;F;LEMERRE;Pascale;45;LR-UMP;4;Non;Non;Non;7.35;39.7816052467;7;2054;2.2;3.68;-0.106197812074;1608.4317122913526;1608
Guy BRULLAND_1_2;Guy BRULLAND;1;2;M;BRULLAND;Guy;62;EXG;7;Non;Non;Non;7.35;39.7816052467;7;1324;1.42;2.37;-0.0652823390102;1139.2148725792952;1139
Marie Jeanne BEGUET_1_2;Marie Jeanne BEGUET;1;2;F;BEGUET;Marie Jeanne;68;EM-MODEM;7;Non;Non;Non;7.35;39.7816052467;7;16185;17.34;29.01;-0.0208733186327;15425.50479542279;15426
Charles DE LA VERPILLIÈRE_1_2;Charles DE LA VERPILLIÈRE;1;2;M;DE LA VERPILLIÈRE;Charles;63;LR-UMP;3;Oui;Oui;Oui;7.35;39.7816052467;7;11517;12.34;20.64;-0.0241736688922;10893.456360381799;10893
Sylviane THIEBAUT_1_2;Sylviane THIEBAUT;1;2;F;THIEBAUT;Sylviane;55;FG-FI;5;Non;Non;Non;7.35;39.7816052467;7;8919;9.56;15.99;-0.198294238385;5649.654966130721;5650
