Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp,qualifie
1_1;82694;48.29;MDM;Laurent MALLET;13534;16.37;33.89;oui
1_1;82694;48.29;LR;Xavier BRETON;10693;12.93;26.78;oui
1_1;82694;48.29;FN;Jérôme BUISSON;6174;7.47;15.46;non
1_1;82694;48.29;FI;Fabrine MARTIN ZEMLIK;3874;4.68;9.7;non
1_1;82694;48.29;SOC;Florence BLATRIX-CONTAT;3687;4.46;9.23;non
1_1;82694;48.29;COM;Jacques FONTAINE;656;0.79;1.64;non
1_1;82694;48.29;ECO;Laurane RAIMONDO;562;0.68;1.41;non
1_1;82694;48.29;EXG;Maude LÉPAGNOT;293;0.35;0.73;non
1_1;82694;48.29;DIV;Marie CARLIER;247;0.3;0.62;non
1_1;82694;48.29;DIV;Gilbert BONNOT;211;0.26;0.53;non
2_4;79116;43.61;REM;Marc DELATTE;9683;12.24;28.07;oui
2_4;79116;43.61;FN;Jean MESSIHA;8010;10.12;23.22;oui
2_4;79116;43.61;LR;Isabelle LÉTRILLART;6969;8.81;20.2;non
2_4;79116;43.61;FI;Sylvie HEYVAERTS;2995;3.79;8.68;non
2_4;79116;43.61;DVG;Marie-Françoise BECHTEL;2747;3.47;7.96;non
2_4;79116;43.61;COM;Michel CARREAU;2427;3.07;7.03;non
2_4;79116;43.61;ECO;Francis MEULEY;611;0.77;1.77;non
2_4;79116;43.61;EXG;Jean-Pierre VITU;463;0.59;1.34;non
2_4;79116;43.61;EXD;Caroline MARIOTTI;327;0.41;0.95;non
2_4;79116;43.61;DIV;Natacha ROSELET;268;0.34;0.78;non
2_5;82223;48.04;REM;Jacques KRABAL;14206;17.28;35.97;oui
2_5;82223;48.04;FN;François DE VOYER;10111;12.3;25.6;oui
2_5;82223;48.04;FI;Omar FENARDJI;3939;4.79;9.97;non
2_5;82223;48.04;UDI;Dominique MOYSE;3351;4.08;8.48;non
2_5;82223;48.04;DVD;Sébastien MANSCOURT;3227;3.92;8.17;non
2_5;82223;48.04;ECO;Dominique JOURDAIN;2426;2.95;6.14;non
2_5;82223;48.04;DLF;Michelle SAPORI;764;0.93;1.93;non
2_5;82223;48.04;DIV;Françoise VACCA;727;0.88;1.84;non
2_5;82223;48.04;EXG;Sylvie GÉRET;480;0.58;1.22;non
2_5;82223;48.04;DIV;Annick LECLERC;268;0.33;0.68;non
3_1;89654;50.95;REM;Pauline RIVIERE;13267;14.8;29.04;oui
3_1;89654;50.95;COM;Jean-Paul DUFRÈGNE;10351;11.55;22.66;oui
3_1;89654;50.95;LR;Pierre-André PÉRISSOL;9248;10.32;20.25;non
3_1;89654;50.95;FN;Michèle CIUCH;4706;5.25;10.3;non
3_1;89654;50.95;SOC;Magali ALEXANDRE;3079;3.43;6.74;non
3_1;89654;50.95;DVG;Jean MALLOT;2026;2.26;4.44;non
3_1;89654;50.95;DLF;Corentin BLACHE;896;1.0;1.96;non
3_1;89654;50.95;ECO;Luderce POINAMBALOM;894;1.0;1.96;non
3_1;89654;50.95;EXG;Jean-Marc COLLOT;460;0.51;1.01;non
3_1;89654;50.95;DIV;Albino AMATO;302;0.34;0.66;non
3_1;89654;50.95;DVG;Fabienne MOTTET;293;0.33;0.64;non
3_1;89654;50.95;DIV;Hasna DOMECK;157;0.18;0.34;non
3_2;84584;49.03;REM;Laurence VANCEUNEBROCK-MIALON;10827;12.8;26.11;oui
3_2;84584;49.03;LR;Daniel DUGLÉRY;9511;11.24;22.93;oui
3_2;84584;49.03;FI;Sylvain BOURDIER;7510;8.88;18.11;non
3_2;84584;49.03;SOC;Nicolas BRIEN;4725;5.59;11.39;non
3_2;84584;49.03;FN;Elisabeth CAMUS;4145;4.9;9.99;non
3_2;84584;49.03;ECO;Philippe BUVAT;1325;1.57;3.19;non
3_2;84584;49.03;ECO;Jean-Marie GUILLAUMIN;786;0.93;1.9;non
3_2;84584;49.03;DLF;Jean DEMASSE;707;0.84;1.7;non
3_2;84584;49.03;DIV;Philippe CHATEL;495;0.59;1.19;non
3_2;84584;49.03;EXG;Gilles ROCHE;396;0.47;0.95;non
3_2;84584;49.03;DVD;Dominique SÉGUIER;289;0.34;0.7;non
3_2;84584;49.03;DVD;Jean-Pierre FOURNIER;281;0.33;0.68;non
3_2;84584;49.03;EXD;Franck PICARD;207;0.24;0.5;non
3_2;84584;49.03;DIV;Céline DOMMANGET;199;0.24;0.48;non
3_2;84584;49.03;DIV;Thierry RICHARD;70;0.08;0.17;non
3_3;79177;49.73;REM;Bénédicte PEYROL;13562;17.13;34.44;oui
3_3;79177;49.73;LR;Gabriel MAQUIN;7784;9.83;19.77;oui
3_3;79177;49.73;RDG;Jacques DE CHABANNES;5526;6.98;14.03;non
3_3;79177;49.73;FN;Jean-Pierre SIGAUD;5226;6.6;13.27;non
3_3;79177;49.73;FI;Marie-Thérèse DUPUIS;3311;4.18;8.41;non
3_3;79177;49.73;ECO;Pascal DEVOS;1982;2.5;5.03;non
3_3;79177;49.73;DLF;Marie-Laure BECOUZE;909;1.15;2.31;non
3_3;79177;49.73;EXG;Bernard LEBEL;391;0.49;0.99;non
3_3;79177;49.73;DIV;Annie DEMMEL;304;0.38;0.77;non
3_3;79177;49.73;DIV;Ahmed GHLAMALLAH;202;0.26;0.51;non
3_3;79177;49.73;EXD;Guillaume DE LONGEVILLE;176;0.22;0.45;non
4_1;61143;50.85;REM;Delphine BAGARRY;10640;17.4;34.22;oui
4_1;61143;50.85;FN;Odile BRUN;5502;9.0;17.7;oui
4_1;61143;50.85;FI;Emmanuelle GAZIELLO;4736;7.75;15.23;non
4_1;61143;50.85;UDI;Brigitte BEAUMEYER;2295;3.75;7.38;non
4_1;61143;50.85;ECO;Colette CHARRIAU;1621;2.65;5.21;non
4_1;61143;50.85;COM;Gérard ESMIOL;1580;2.58;5.08;non
4_1;61143;50.85;DLF;Marie-Anne BAUDOUI MAUREL;1299;2.12;4.18;non
4_1;61143;50.85;DVD;Bruno BOURJAC;1225;2.0;3.94;non
4_1;61143;50.85;RDG;Florence VITI-BERTIN;861;1.41;2.77;non
4_1;61143;50.85;DIV;Bruno POTIE;568;0.93;1.83;non
4_1;61143;50.85;ECO;Jonathan BARBARIN;401;0.66;1.29;non
4_1;61143;50.85;DIV;Claire BOUVIER;227;0.37;0.73;non
4_1;61143;50.85;EXG;Catherine ZAPARTY;137;0.22;0.44;non
4_2;65326;51.99;REM;Christophe CASTANER;14957;22.9;44.04;oui
4_2;65326;51.99;FI;Léo WALTER;5622;8.61;16.55;oui
4_2;65326;51.99;FN;Christian GIRARD;4611;7.06;13.58;non
4_2;65326;51.99;DVD;Jean-Claude CASTEL;3861;5.91;11.37;non
4_2;65326;51.99;LR;Sébastien GINET;1565;2.4;4.61;non
4_2;65326;51.99;COM;Isabelle THIBAULT;877;1.34;2.58;non
4_2;65326;51.99;ECO;Claudine RAZEAU;786;1.2;2.31;non
4_2;65326;51.99;DLF;Noël CHUISANO;534;0.82;1.57;non
4_2;65326;51.99;DVG;Christine CYPRIANI-MOUTON;378;0.58;1.11;non
4_2;65326;51.99;DIV;Nathalie HUE-COURTIN;316;0.48;0.93;non
4_2;65326;51.99;DIV;Christophe BRAVARD;236;0.36;0.69;non
4_2;65326;51.99;EXG;Henri CYVOCT;218;0.33;0.64;non
5_1;57757;50.2;REM;Pascale BOYER;9258;16.03;31.93;oui
5_1;57757;50.2;LR;Catherine ASSO;4084;7.07;14.09;oui
5_1;57757;50.2;FN;Patrick DEROIN;3938;6.82;13.58;non
5_1;57757;50.2;FI;Éléonore FLANDIN;3548;6.14;12.24;non
5_1;57757;50.2;SOC;Karine BERGER;3320;5.75;11.45;non
5_1;57757;50.2;DIV;Jean-Marc PASSERON;2317;4.01;7.99;non
5_1;57757;50.2;COM;Pierre VILLARD;884;1.53;3.05;non
5_1;57757;50.2;DVD;Jean-Pierre COYRET;547;0.95;1.89;non
5_1;57757;50.2;ECO;Chantal SARRUT;427;0.74;1.47;non
5_1;57757;50.2;ECO;Marcelle BUCHLIN-SCHWENDEMANN;314;0.54;1.08;non
5_1;57757;50.2;DIV;Brigitte BOURG;197;0.34;0.68;non
5_1;57757;50.2;EXG;Boris GUIGNARD;160;0.28;0.55;non
5_2;52160;54.43;REM;Joël GIRAUD;12566;24.09;44.26;oui
5_2;52160;54.43;DVD;Arnaud MURGIA;3683;7.06;12.97;oui
5_2;52160;54.43;FI;Christophe TASSAUX;3357;6.44;11.82;non
5_2;52160;54.43;FN;Laurence LEGUEM;3034;5.82;10.69;non
5_2;52160;54.43;UDI;Chantal EYMEOUD;3029;5.81;10.67;non
5_2;52160;54.43;ECO;Agnès ANTOINE;2224;4.26;7.83;non
5_2;52160;54.43;DIV;Florian DEMMEL;204;0.39;0.72;non
5_2;52160;54.43;EXG;Véronique BUISSON;148;0.28;0.52;non
5_2;52160;54.43;DIV;Yann ESPINOSA;146;0.28;0.51;non
6_1;80466;48.4;LR;Eric CIOTTI;13630;16.94;35.0;oui
6_1;80466;48.4;REM;Caroline REVERSO-MEINIETTI;12599;15.66;32.35;oui
6_1;80466;48.4;FN;Jean-Pierre DAUGREILH;4865;6.05;12.49;non
6_1;80466;48.4;FI;Robert INJEY;4116;5.12;10.57;non
