code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voix_t2_m1_reel;prediction;voixT2_modele2
1;1;Ain;1;Laurent MALLET_1_1;1ère circonscription;M;MALLET;Laurent;44;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;12460;15.08;25.61;0.0206727129648;13098.579111;13099;13534;0.594972067039;0.594972067039;améliore;oui;;;41745;0.0440392981251;16310;0.0284486704235;17494
1;1;Ain;1;Xavier BRETON_1_1;1ère circonscription;M;BRETON;Xavier;54;LR-UMP;4;Oui;Oui;Oui;7.35;39.7816052467;7;12244;14.81;25.17;0.00395315261548;12356.9926341;12357;10693;-0.0728562217924;-0.0728562217924;degrade_un_peu;oui;46;0.00923913043478;15078;0.0310684164536;13163;-0.0081512619226;12918
1;1;Ain;2;Marie Jeanne BEGUET_1_2;2ème circonscription;F;BEGUET;Marie Jeanne;68;EM-MODEM;7;Non;Non;Non;7.35;39.7816052467;7;16185;17.34;29.01;-0.0208733186327;15425.5047954;15426;16371;-4.08064516129;-1.042;degrade;oui;;;41745;0.0440392981251;18374;0.0328087034097;19939
1;1;Ain;2;Charles DE LA VERPILLIÈRE_1_2;2ème circonscription;M;DE LA VERPILLIÈRE;Charles;63;LR-UMP;3;Oui;Oui;Oui;7.35;39.7816052467;7;11517;12.34;20.64;-0.0241736688922;10893.4563604;10893;11182;1.86268656716;1.715;ameliore/surestime;oui;;;15078;0.0310684164536;14203;0.00319251871805;14309
1;1;Ain;3;Olga GIVERNET_1_3;3ème circonscription;F;GIVERNET;Olga;35;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;12409;16.45;28.76;3.20239435496E-4;12418.1602619;12418;15405;0.00300400534045;0.00300400534045;améliore;oui;;;41745;0.0440392981251;17358;0.0301666223244;18703
1;1;Ain;3;Stéphanie PERNOD BEAUDON_1_3;3ème circonscription;F;PERNOD BEAUDON;Stéphanie;38;LR-UMP;4;Oui;Oui;Oui;7.35;39.7816052467;7;11594;15.37;26.88;-0.0162725251533;11167.6236788;11168;7281;0.0987711569673;0.0987711569673;améliore;oui;;;15078;0.0310684164536;8804;-0.0162921112981;8480
1;1;Ain;4;Stéphane TROMPILLE_1_4;4ème circonscription;M;TROMPILLE;Stéphane;34;EM-MODEM;5;Non;Non;Non;7.35;39.7816052467;7;14823;16.61;27.24;-0.0210434383496;14121.8849907;14122;15492;-1.04783258595;-1.042;degrade;oui;;;41745;0.0440392981251;19805;0.030915983167;21383
1;1;Ain;4;Blanche CHAUSSAT_1_4;4ème circonscription;F;CHAUSSAT;Blanche;32;FN;5;Non;Non;Non;7.35;39.7816052467;7;13875;15.54;25.5;-0.0968330445029;11101.9673888;11102;7964;0.469125359499;0.469125359499;améliore;oui;;;60621;0.040893260993;9260;0.00391056738235;9345
1;1;Ain;5;Damien ABAD_1_5;5ème circonscription;M;ABAD;Damien;37;LR-UMP;8;Oui;Oui;Oui;7.35;39.7816052467;7;9216;12.25;21.3;-0.0132123204398;8939.84822404;8940;12743;-0.0782534732067;-0.0782534732067;degrade_un_peu;oui;;;15078;0.0310684164536;14983;-0.0105091755335;14625
1;1;Ain;5;Hélène DE MEIRE_1_5;5ème circonscription;F;DE MEIRE;Hélène;40;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;10156;13.5;23.48;0.00224899674355;10209.0045187;10209;9149;-0.0526315789474;-0.0526315789474;degrade_un_peu;oui;;;41745;0.0440392981251;10627;-0.0118935899154;10340
